,23.07.13 10 uM L-ala 3.1,
Raman shift [1/cm],Intensity,
360.0000,1291.941,
359.8000,1299.953,
359.6000,1307.4655,
359.4000,1315.1654,
359.2000,1324.3258,
359.0000,1333.1858,
358.8000,1341.7325,
358.6000,1350.1788,
358.4000,1358.2943,
358.2000,1366.9121,
358.0000,1374.5563,
357.8000,1382.7264,
357.6000,1392.3052,
357.4000,1400.5551,
357.2000,1409.4673,
357.0000,1417.7406,
356.8000,1425.1858,
356.6000,1433.8905,
356.4000,1443.7203,
356.2000,1452.9946,
356.0000,1461.8159,
355.8000,1469.8947,
355.6000,1478.2565,
355.4000,1487.1167,
355.2000,1495.6007,
355.0000,1505.3488,
354.8000,1515.2625,
354.6000,1524.6345,
354.4000,1533.6127,
354.2000,1542.5073,
354.0000,1551.5603,
353.8000,1560.0292,
353.6000,1570.0538,
353.4000,1580.7448,
353.2000,1590.6017,
353.0000,1599.5985,
352.8000,1608.7214,
352.6000,1617.6598,
352.4000,1627.2545,
352.2000,1636.2932,
352.0000,1645.3564,
351.8000,1654.8086,
351.6000,1663.2958,
351.4000,1672.2787,
351.2000,1681.8669,
351.0000,1691.5244,
350.8000,1701.5106,
350.6000,1711.9456,
350.4000,1721.9305,
350.2000,1731.0675,
350.0000,1740.5964,
349.8000,1749.7822,
349.6000,1759.1578,
349.4000,1768.6826,
349.2000,1779.0275,
349.0000,1789.256,
348.8000,1798.6641,
348.6000,1808.4668,
348.4000,1816.6545,
348.2000,1824.4639,
348.0000,1833.3099,
347.8000,1842.6981,
347.6000,1851.83,
347.4000,1860.4376,
347.2000,1869.2073,
347.0000,1878.5115,
346.8000,1887.6958,
346.6000,1896.181,
346.4000,1904.3077,
346.2000,1912.4784,
346.0000,1920.3727,
345.8000,1928.7919,
345.6000,1937.5438,
345.4000,1946.842,
345.2000,1956.707,
345.0000,1965.7889,
344.8000,1974.5316,
344.6000,1983.2292,
344.4000,1991.7684,
344.2000,2000.3744,
344.0000,2008.9016,
343.8000,2017.0758,
343.6000,2025.3384,
343.4000,2033.6208,
343.2000,2041.9966,
343.0000,2050.9307,
342.8000,2059.97,
342.6000,2068.7705,
342.4000,2077.1665,
342.2000,2085.26,
342.0000,2094.7639,
341.8000,2104.1384,
341.6000,2113.322,
341.4000,2121.282,
341.2000,2129.5073,
341.0000,2137.6558,
340.8000,2145.7212,
340.6000,2154.3091,
340.4000,2163.302,
340.2000,2172.981,
340.0000,2182.2603,
339.8000,2189.5862,
339.6000,2197.321,
339.4000,2204.6533,
339.2000,2212.2253,
339.0000,2221.1448,
338.8000,2229.1509,
338.6000,2236.0964,
338.4000,2242.1648,
338.2000,2248.958,
338.0000,2256.3569,
337.8000,2264.7961,
337.6000,2273.6345,
337.4000,2281.2036,
337.2000,2287.3979,
337.0000,2294.0691,
336.8000,2301.1367,
336.6000,2308.6501,
336.4000,2316.6853,
336.2000,2324.8271,
336.0000,2333.4978,
335.8000,2340.979,
335.6000,2347.6289,
335.4000,2353.8369,
335.2000,2359.9644,
335.0000,2366.761,
334.8000,2373.552,
334.6000,2380.1426,
334.4000,2385.8694,
334.2000,2391.8967,
334.0000,2397.271,
333.8000,2403.5134,
333.6000,2409.1987,
333.4000,2414.8445,
333.2000,2420.6558,
333.0000,2426.1558,
332.8000,2431.1633,
332.6000,2435.9783,
332.4000,2440.9578,
332.2000,2445.3201,
332.0000,2448.6975,
331.8000,2452.6445,
331.6000,2455.821,
331.4000,2458.1509,
331.2000,2459.9197,
331.0000,2463.032,
330.8000,2465.3052,
330.6000,2468.1177,
330.4000,2471.2715,
330.2000,2474.5725,
330.0000,2477.0176,
329.8000,2477.2754,
329.6000,2478.4446,
329.4000,2480.198,
329.2000,2482.5645,
329.0000,2483.7605,
328.8000,2485.0261,
328.6000,2484.5369,
328.4000,2484.2783,
328.2000,2485.6387,
328.0000,2485.1797,
327.8000,2484.3923,
327.6000,2483.0996,
327.4000,2481.5818,
327.2000,2480.3213,
327.0000,2479.7229,
326.8000,2478.6343,
326.6000,2477.1245,
326.4000,2475.7747,
326.2000,2474.4287,
326.0000,2472.3315,
325.8000,2470.458,
325.6000,2467.5706,
325.4000,2464.5012,
325.2000,2461.5183,
325.0000,2459.2258,
324.8000,2454.4297,
324.6000,2449.3779,
324.4000,2444.3567,
324.2000,2439.2009,
324.0000,2433.1951,
323.8000,2427.0081,
323.6000,2420.8762,
323.4000,2415.2478,
323.2000,2408.6179,
323.0000,2401.7888,
322.8000,2394.8884,
322.6000,2387.147,
322.4000,2378.8333,
322.2000,2370.0684,
322.0000,2361.1262,
321.8000,2352.4695,
321.6000,2344.446,
321.4000,2335.8921,
321.2000,2326.6426,
321.0000,2317.1775,
320.8000,2307.6226,
320.6000,2298.4165,
320.4000,2288.8875,
320.2000,2279.2261,
320.0000,2269.2012,
319.8000,2258.3901,
319.6000,2247.3008,
319.4000,2236.157,
319.2000,2224.2732,
319.0000,2211.9006,
318.8000,2200.0386,
318.6000,2187.1567,
318.4000,2173.6292,
318.2000,2159.6909,
318.0000,2145.1011,
317.8000,2130.55,
317.6000,2116.9016,
317.4000,2103.4343,
317.2000,2090.0059,
317.0000,2076.2734,
316.8000,2061.9668,
316.6000,2046.5944,
316.4000,2031.9335,
316.2000,2021.4601,
316.0000,2014.5555,
315.8000,2008.2128,
315.6000,2001.4403,
315.4000,1993.8951,
315.2000,1986.5726,
315.0000,1979.5822,
