,23.07.13 Blank 5.1,
Raman shift [1/cm],Intensity,
360.0000,1286.1838,
359.8000,1294.5195,
359.6000,1302.692,
359.4000,1310.941,
359.2000,1320.3177,
359.0000,1329.0181,
358.8000,1336.9666,
358.6000,1344.3929,
358.4000,1352.7267,
358.2000,1361.3427,
358.0000,1369.9753,
357.8000,1378.8883,
357.6000,1387.734,
357.4000,1395.6422,
357.2000,1403.9755,
357.0000,1413.3358,
356.8000,1423.1121,
356.6000,1432.7222,
356.4000,1441.5874,
356.2000,1450.1616,
356.0000,1459.5336,
355.8000,1468.3179,
355.6000,1477.4248,
355.4000,1485.8423,
355.2000,1494.7285,
355.0000,1503.7496,
354.8000,1512.7966,
354.6000,1521.5337,
354.4000,1530.5763,
354.2000,1539.5436,
354.0000,1548.7175,
353.8000,1557.6766,
353.6000,1566.7146,
353.4000,1575.9844,
353.2000,1584.8191,
353.0000,1594.0432,
352.8000,1603.1207,
352.6000,1611.8964,
352.4000,1620.6348,
352.2000,1630.061,
352.0000,1639.5951,
351.8000,1648.7507,
351.6000,1657.6649,
351.4000,1666.9379,
351.2000,1676.1049,
351.0000,1685.4813,
350.8000,1695.5082,
350.6000,1704.6783,
350.4000,1713.634,
350.2000,1722.6611,
350.0000,1732.1262,
349.8000,1741.1659,
349.6000,1749.0339,
349.4000,1757.6638,
349.2000,1767.7614,
349.0000,1777.0236,
348.8000,1786.4724,
348.6000,1796.1542,
348.4000,1804.7478,
348.2000,1813.2117,
348.0000,1823.0094,
347.8000,1832.8175,
347.6000,1840.2969,
347.4000,1847.7689,
347.2000,1855.9496,
347.0000,1865.1997,
346.8000,1874.9851,
346.6000,1885.7144,
346.4000,1896.2817,
346.2000,1905.8748,
346.0000,1915.1169,
345.8000,1923.2072,
345.6000,1932.0348,
345.4000,1941.0406,
345.2000,1950.7603,
345.0000,1960.85,
344.8000,1970.973,
344.6000,1980.8334,
344.4000,1990.1852,
344.2000,1999.423,
344.0000,2008.454,
343.8000,2018.0869,
343.6000,2027.866,
343.4000,2037.3422,
343.2000,2046.1847,
343.0000,2055.5105,
342.8000,2063.9758,
342.6000,2073.6152,
342.4000,2083.4487,
342.2000,2091.7959,
342.0000,2100.1328,
341.8000,2109.2297,
341.6000,2118.1216,
341.4000,2125.7048,
341.2000,2133.6348,
341.0000,2142.2217,
340.8000,2151.8538,
340.6000,2161.7627,
340.4000,2171.1245,
340.2000,2179.5552,
340.0000,2188.5571,
339.8000,2198.1855,
339.6000,2207.9441,
339.4000,2217.2378,
339.2000,2226.6604,
339.0000,2234.928,
338.8000,2241.5471,
338.6000,2248.8674,
338.4000,2256.7585,
338.2000,2263.7505,
338.0000,2271.7883,
337.8000,2280.4856,
337.6000,2289.8145,
337.4000,2298.2056,
337.2000,2306.0364,
337.0000,2313.7439,
336.8000,2321.0354,
336.6000,2327.7764,
336.4000,2335.0264,
336.2000,2343.0083,
336.0000,2350.946,
335.8000,2358.8923,
335.6000,2366.4338,
335.4000,2373.2468,
335.2000,2379.9312,
335.0000,2386.5266,
334.8000,2393.6406,
334.6000,2400.6497,
334.4000,2407.053,
334.2000,2412.2412,
334.0000,2417.8889,
333.8000,2423.7539,
333.6000,2430.0876,
333.4000,2435.9968,
333.2000,2441.6274,
333.0000,2445.5574,
332.8000,2449.2031,
332.6000,2453.1204,
332.4000,2457.2844,
332.2000,2461.7439,
332.0000,2465.8098,
331.8000,2469.96,
331.6000,2474.7036,
331.4000,2477.0476,
331.2000,2480.3235,
331.0000,2482.6936,
330.8000,2485.509,
330.6000,2488.9824,
330.4000,2491.7842,
330.2000,2494.1321,
330.0000,2495.7124,
329.8000,2498.9824,
329.6000,2502.3638,
329.4000,2504.595,
329.2000,2506.4836,
329.0000,2507.8926,
328.8000,2508.8921,
328.6000,2508.9519,
328.4000,2509.2253,
328.2000,2509.7827,
328.0000,2510.3777,
327.8000,2510.5459,
327.6000,2510.1003,
327.4000,2509.5845,
327.2000,2508.5959,
327.0000,2507.502,
326.8000,2506.9846,
326.6000,2505.9019,
326.4000,2503.7825,
326.2000,2501.7917,
326.0000,2499.9866,
325.8000,2497.5498,
325.6000,2495.1196,
325.4000,2492.9661,
325.2000,2490.6006,
325.0000,2486.6724,
324.8000,2483.3738,
324.6000,2478.2292,
324.4000,2472.9241,
324.2000,2468.5525,
324.0000,2464.3584,
323.8000,2458.6206,
323.6000,2452.6333,
323.4000,2447.126,
323.2000,2440.7573,
323.0000,2433.6443,
322.8000,2426.2468,
322.6000,2418.5396,
322.4000,2410.9055,
322.2000,2403.4541,
322.0000,2394.1946,
321.8000,2384.6958,
321.6000,2374.0801,
321.4000,2364.2888,
321.2000,2353.6472,
321.0000,2345.4104,
320.8000,2336.4414,
320.6000,2326.6646,
320.4000,2316.7009,
320.2000,2306.7832,
320.0000,2295.8083,
319.8000,2284.1091,
319.6000,2271.5981,
319.4000,2258.74,
319.2000,2246.3647,
319.0000,2234.4119,
318.8000,2223.3494,
318.6000,2211.6545,
318.4000,2199.5681,
318.2000,2186.3406,
318.0000,2173.0901,
317.8000,2159.4863,
317.6000,2145.3318,
317.4000,2132.2878,
317.2000,2119.0078,
317.0000,2105.4224,
316.8000,2090.645,
316.6000,2075.3481,
316.4000,2060.4973,
316.2000,2050.5522,
316.0000,2043.4307,
315.8000,2036.8438,
315.6000,2030.0126,
315.4000,2023.2058,
315.2000,2016.2993,
315.0000,2010.6055,
