,23.07.13 10 uM BHB 4,
Raman shift [1/cm],Intensity,
360.0000,1242.8606,
359.8000,1250.417,
359.6000,1258.0844,
359.4000,1265.6768,
359.2000,1272.5006,
359.0000,1279.5405,
358.8000,1286.7037,
358.6000,1293.6777,
358.4000,1300.8094,
358.2000,1308.5422,
358.0000,1316.7764,
357.8000,1324.4917,
357.6000,1331.6984,
357.4000,1339.6428,
357.2000,1346.8376,
357.0000,1353.8815,
356.8000,1361.6937,
356.6000,1369.8654,
356.4000,1377.5619,
356.2000,1385.8993,
356.0000,1395.0758,
355.8000,1404.3628,
355.6000,1413.184,
355.4000,1421.8973,
355.2000,1431.5109,
355.0000,1440.8158,
354.8000,1449.7399,
354.6000,1458.2648,
354.4000,1467.3279,
354.2000,1475.8605,
354.0000,1484.0881,
353.8000,1492.0011,
353.6000,1500.396,
353.4000,1509.0109,
353.2000,1517.4979,
353.0000,1526.2816,
352.8000,1534.964,
352.6000,1543.0609,
352.4000,1551.1121,
352.2000,1560.1205,
352.0000,1568.2378,
351.8000,1576.1742,
351.6000,1584.8904,
351.4000,1593.1134,
351.2000,1602.0507,
351.0000,1610.6743,
350.8000,1618.6331,
350.6000,1626.5239,
350.4000,1634.7332,
350.2000,1643.225,
350.0000,1650.9132,
349.8000,1658.1863,
349.6000,1666.0385,
349.4000,1674.4226,
349.2000,1683.3364,
349.0000,1691.5702,
348.8000,1700.2369,
348.6000,1708.5798,
348.4000,1716.3461,
348.2000,1724.6917,
348.0000,1733.5265,
347.8000,1741.4897,
347.6000,1749.9945,
347.4000,1759.2301,
347.2000,1767.3403,
347.0000,1775.8351,
346.8000,1784.7196,
346.6000,1792.8782,
346.4000,1801.3347,
346.2000,1810.6656,
346.0000,1818.7279,
345.8000,1827.6937,
345.6000,1836.7496,
345.4000,1845.8184,
345.2000,1854.3112,
345.0000,1862.4474,
344.8000,1871.0076,
344.6000,1879.8184,
344.4000,1887.8462,
344.2000,1895.7556,
344.0000,1903.8877,
343.8000,1912.2771,
343.6000,1920.866,
343.4000,1929.2637,
343.2000,1937.2893,
343.0000,1944.9816,
342.8000,1952.7262,
342.6000,1961.6146,
342.4000,1970.9677,
342.2000,1979.705,
342.0000,1987.5886,
341.8000,1995.3002,
341.6000,2003.3065,
341.4000,2011.2454,
341.2000,2019.2645,
341.0000,2027.7531,
340.8000,2036.957,
340.6000,2046.0032,
340.4000,2054.2017,
340.2000,2062.4102,
340.0000,2070.0352,
339.8000,2078.3069,
339.6000,2086.8235,
339.4000,2095.2412,
339.2000,2102.9846,
339.0000,2111.3396,
338.8000,2118.6086,
338.6000,2127.042,
338.4000,2134.8308,
338.2000,2140.8638,
338.0000,2147.3972,
337.8000,2154.2769,
337.6000,2161.2603,
337.4000,2168.4177,
337.2000,2175.3545,
337.0000,2182.4121,
336.8000,2188.6296,
336.6000,2195.2202,
336.4000,2201.0696,
336.2000,2207.5063,
336.0000,2215.2073,
335.8000,2222.2305,
335.6000,2227.9187,
335.4000,2234.5459,
335.2000,2240.4941,
335.0000,2246.6504,
334.8000,2253.7166,
334.6000,2260.8369,
334.4000,2267.782,
334.2000,2274.5491,
334.0000,2280.1799,
333.8000,2285.2356,
333.6000,2290.5193,
333.4000,2295.365,
333.2000,2299.9802,
333.0000,2304.4595,
332.8000,2309.4653,
332.6000,2315.178,
332.4000,2320.8936,
332.2000,2326.3137,
332.0000,2331.7373,
331.8000,2336.655,
331.6000,2340.9915,
331.4000,2344.2314,
331.2000,2347.1379,
331.0000,2351.1279,
330.8000,2355.5051,
330.6000,2359.4976,
330.4000,2362.6116,
330.2000,2364.3767,
330.0000,2367.1511,
329.8000,2370.0796,
329.6000,2371.585,
329.4000,2373.2148,
329.2000,2375.4451,
329.0000,2376.0979,
328.8000,2376.4607,
328.6000,2377.2744,
328.4000,2377.5417,
328.2000,2378.2378,
328.0000,2377.5999,
327.8000,2376.9841,
327.6000,2376.0989,
327.4000,2374.5317,
327.2000,2373.8035,
327.0000,2372.8137,
326.8000,2371.5535,
326.6000,2370.1719,
326.4000,2368.8875,
326.2000,2366.0435,
326.0000,2362.1062,
325.8000,2357.9929,
325.6000,2354.502,
325.4000,2351.4885,
325.2000,2348.8855,
325.0000,2346.1609,
324.8000,2342.5823,
324.6000,2337.6096,
324.4000,2331.9922,
324.2000,2327.3806,
324.0000,2323.283,
323.8000,2318.8191,
323.6000,2314.0322,
323.4000,2309.2732,
323.2000,2304.0991,
323.0000,2297.7239,
322.8000,2290.4351,
322.6000,2282.5793,
322.4000,2275.6211,
322.2000,2267.78,
322.0000,2259.6885,
321.8000,2251.3862,
321.6000,2242.5249,
321.4000,2233.9492,
321.2000,2225.2397,
321.0000,2216.6296,
320.8000,2207.4868,
320.6000,2197.353,
320.4000,2187.9438,
320.2000,2178.8394,
320.0000,2169.1501,
319.8000,2159.6978,
319.6000,2148.5964,
319.4000,2136.865,
319.2000,2125.467,
319.0000,2114.5798,
318.8000,2103.9204,
318.6000,2092.7263,
318.4000,2081.6658,
318.2000,2069.1523,
318.0000,2056.718,
317.8000,2044.1729,
317.6000,2031.8944,
317.4000,2019.0852,
317.2000,2006.6627,
317.0000,1993.5454,
316.8000,1979.3689,
316.6000,1965.2395,
316.4000,1950.9685,
316.2000,1940.7164,
316.0000,1934.3187,
315.8000,1928.7249,
315.6000,1923.2594,
315.4000,1917.9944,
315.2000,1912.2977,
315.0000,1907.312,
