,23.07.13 Blank 1,
Raman shift [1/cm],Intensity,
360.0000,1265.9587,
359.8000,1274.7806,
359.6000,1283.8734,
359.4000,1292.5676,
359.2000,1300.8357,
359.0000,1309.0189,
358.8000,1317.8329,
358.6000,1326.2078,
358.4000,1334.4578,
358.2000,1342.335,
358.0000,1350.5205,
357.8000,1358.7639,
357.6000,1367.7837,
357.4000,1376.526,
357.2000,1384.7555,
357.0000,1393.7136,
356.8000,1402.5437,
356.6000,1411.2764,
356.4000,1419.3716,
356.2000,1428.2084,
356.0000,1437.4749,
355.8000,1445.7733,
355.6000,1454.5336,
355.4000,1463.658,
355.2000,1472.9474,
355.0000,1481.8414,
354.8000,1491.3623,
354.6000,1499.8959,
354.4000,1509.0054,
354.2000,1517.3865,
354.0000,1526.3264,
353.8000,1536.0724,
353.6000,1545.0791,
353.4000,1554.3628,
353.2000,1563.7034,
353.0000,1573.4164,
352.8000,1583.8114,
352.6000,1593.1754,
352.4000,1602.9114,
352.2000,1612.0211,
352.0000,1620.5051,
351.8000,1629.386,
351.6000,1637.4105,
351.4000,1645.7556,
351.2000,1653.8979,
351.0000,1662.4075,
350.8000,1672.0306,
350.6000,1681.1918,
350.4000,1690.2,
350.2000,1699.2388,
350.0000,1708.2577,
349.8000,1717.7977,
349.6000,1727.844,
349.4000,1737.3025,
349.2000,1746.3688,
349.0000,1754.6528,
348.8000,1763.1749,
348.6000,1771.2373,
348.4000,1779.7969,
348.2000,1788.4384,
348.0000,1796.7898,
347.8000,1805.8408,
347.6000,1815.0082,
347.4000,1823.9141,
347.2000,1833.3707,
347.0000,1841.9529,
346.8000,1850.8313,
346.6000,1859.1411,
346.4000,1868.1293,
346.2000,1877.3367,
346.0000,1886.5616,
345.8000,1895.4501,
345.6000,1904.6047,
345.4000,1913.9637,
345.2000,1923.8132,
345.0000,1934.0245,
344.8000,1943.3148,
344.6000,1952.5159,
344.4000,1961.1158,
344.2000,1969.2813,
344.0000,1977.896,
343.8000,1986.9111,
343.6000,1996.6833,
343.4000,2005.611,
343.2000,2014.3776,
343.0000,2023.1056,
342.8000,2032.8625,
342.6000,2042.6752,
342.4000,2051.9534,
342.2000,2061.3279,
342.0000,2070.365,
341.8000,2078.676,
341.6000,2086.959,
341.4000,2095.8274,
341.2000,2104.1997,
341.0000,2111.6306,
340.8000,2119.459,
340.6000,2128.6758,
340.4000,2137.2219,
340.2000,2145.6338,
340.0000,2154.6604,
339.8000,2163.4751,
339.6000,2172.6365,
339.4000,2180.4944,
339.2000,2188.4956,
339.0000,2196.958,
338.8000,2205.8359,
338.6000,2214.3347,
338.4000,2222.093,
338.2000,2229.7351,
338.0000,2239.0959,
337.8000,2247.054,
337.6000,2254.5471,
337.4000,2262.2209,
337.2000,2269.6746,
337.0000,2276.5874,
336.8000,2282.7688,
336.6000,2289.6799,
336.4000,2296.4177,
336.2000,2303.7549,
336.0000,2309.6011,
335.8000,2315.8899,
335.6000,2322.7683,
335.4000,2328.7551,
335.2000,2334.8997,
335.0000,2341.3022,
334.8000,2347.6965,
334.6000,2353.51,
334.4000,2358.9075,
334.2000,2365.0901,
334.0000,2371.2175,
333.8000,2377.772,
333.6000,2385.1311,
333.4000,2392.0359,
333.2000,2397.7751,
333.0000,2402.7988,
332.8000,2407.2629,
332.6000,2411.428,
332.4000,2415.3911,
332.2000,2420.27,
332.0000,2424.4153,
331.8000,2427.1396,
331.6000,2430.0051,
331.4000,2434.3513,
331.2000,2438.4258,
331.0000,2442.3455,
330.8000,2445.719,
330.6000,2448.5796,
330.4000,2450.8115,
330.2000,2453.7815,
330.0000,2455.5195,
329.8000,2456.834,
329.6000,2459.0464,
329.4000,2460.9221,
329.2000,2462.6431,
329.0000,2463.5469,
328.8000,2464.5842,
328.6000,2464.1855,
328.4000,2464.4236,
328.2000,2464.46,
328.0000,2463.9653,
327.8000,2463.0171,
327.6000,2461.4873,
327.4000,2459.6985,
327.2000,2457.426,
327.0000,2455.8752,
326.8000,2455.3521,
326.6000,2453.6682,
326.4000,2451.4258,
326.2000,2448.8904,
326.0000,2445.3076,
325.8000,2441.3831,
325.6000,2438.0439,
325.4000,2435.0208,
325.2000,2430.9456,
325.0000,2425.5759,
324.8000,2419.407,
324.6000,2413.9961,
324.4000,2408.2383,
324.2000,2402.4265,
324.0000,2396.6667,
323.8000,2390.5691,
323.6000,2384.8486,
323.4000,2378.8489,
323.2000,2373.1624,
323.0000,2367.4001,
322.8000,2360.9363,
322.6000,2352.5662,
322.4000,2343.9773,
322.2000,2335.1807,
322.0000,2326.7278,
321.8000,2317.5181,
321.6000,2307.4521,
321.4000,2298.0498,
321.2000,2288.3984,
321.0000,2277.6768,
320.8000,2267.0217,
320.6000,2256.6414,
320.4000,2246.4351,
320.2000,2236.5574,
320.0000,2224.7832,
319.8000,2213.6851,
319.6000,2203.0676,
319.4000,2192.0881,
319.2000,2180.4399,
319.0000,2168.9373,
318.8000,2157.4998,
318.6000,2145.6763,
318.4000,2133.8198,
318.2000,2121.1196,
318.0000,2107.7522,
317.8000,2094.0369,
317.6000,2080.0613,
317.4000,2066.8379,
317.2000,2053.0576,
317.0000,2039.0359,
316.8000,2024.1936,
316.6000,2009.3665,
316.4000,1995.1553,
316.2000,1984.7576,
316.0000,1976.8622,
315.8000,1969.3297,
315.6000,1961.9089,
315.4000,1954.7927,
315.2000,1947.5968,
315.0000,1941.3136,
