,23.07.13 10 uM AcAc 4,
Raman shift [1/cm],Intensity,
360.0000,1285.8606,
359.8000,1293.5555,
359.6000,1301.1881,
359.4000,1309.6516,
359.2000,1318.194,
359.0000,1326.5665,
358.8000,1335.4104,
358.6000,1342.7325,
358.4000,1350.0752,
358.2000,1358.5022,
358.0000,1367.2946,
357.8000,1375.229,
357.6000,1384.2682,
357.4000,1392.4987,
357.2000,1399.958,
357.0000,1408.0438,
356.8000,1415.6478,
356.6000,1423.939,
356.4000,1432.4696,
356.2000,1442.028,
356.0000,1451.6075,
355.8000,1460.7144,
355.6000,1469.4312,
355.4000,1477.0724,
355.2000,1485.0618,
355.0000,1493.3988,
354.8000,1501.8406,
354.6000,1510.1194,
354.4000,1518.5358,
354.2000,1526.7373,
354.0000,1536.0875,
353.8000,1544.7854,
353.6000,1555.0288,
353.4000,1564.8698,
353.2000,1574.2714,
353.0000,1584.2007,
352.8000,1593.394,
352.6000,1602.8933,
352.4000,1613.1863,
352.2000,1622.7312,
352.0000,1631.545,
351.8000,1639.8668,
351.6000,1648.9537,
351.4000,1657.0558,
351.2000,1665.575,
351.0000,1673.7207,
350.8000,1682.7406,
350.6000,1691.743,
350.4000,1700.4423,
350.2000,1708.0535,
350.0000,1716.7914,
349.8000,1727.0531,
349.6000,1737.0271,
349.4000,1745.8147,
349.2000,1755.0216,
349.0000,1765.1851,
348.8000,1775.1311,
348.6000,1784.8402,
348.4000,1793.5997,
348.2000,1802.5052,
348.0000,1810.8745,
347.8000,1818.7582,
347.6000,1826.9111,
347.4000,1835.8389,
347.2000,1845.2111,
347.0000,1853.9731,
346.8000,1862.6602,
346.6000,1872.4373,
346.4000,1881.615,
346.2000,1891.2756,
346.0000,1900.36,
345.8000,1909.6501,
345.6000,1919.1639,
345.4000,1928.5037,
345.2000,1937.2915,
345.0000,1945.8059,
344.8000,1954.1434,
344.6000,1961.855,
344.4000,1969.9652,
344.2000,1978.6815,
344.0000,1987.7727,
343.8000,1997.1404,
343.6000,2007.8528,
343.4000,2017.5664,
343.2000,2025.2769,
343.0000,2033.6564,
342.8000,2042.0396,
342.6000,2050.2156,
342.4000,2058.4658,
342.2000,2067.2231,
342.0000,2076.9917,
341.8000,2086.3325,
341.6000,2094.5093,
341.4000,2102.1323,
341.2000,2109.8955,
341.0000,2117.5684,
340.8000,2125.9841,
340.6000,2134.5352,
340.4000,2142.834,
340.2000,2150.1245,
340.0000,2158.7273,
339.8000,2166.7869,
339.6000,2174.3181,
339.4000,2182.1934,
339.2000,2190.3838,
339.0000,2198.354,
338.8000,2206.8909,
338.6000,2214.9434,
338.4000,2222.6162,
338.2000,2230.9104,
338.0000,2238.0457,
337.8000,2245.9778,
337.6000,2254.8267,
337.4000,2264.2979,
337.2000,2272.7612,
337.0000,2279.5884,
336.8000,2288.0293,
336.6000,2295.0073,
336.4000,2302.0198,
336.2000,2309.1387,
336.0000,2316.5625,
335.8000,2322.9329,
335.6000,2329.074,
335.4000,2335.5193,
335.2000,2341.8806,
335.0000,2349.0161,
334.8000,2354.8672,
334.6000,2359.4812,
334.4000,2363.6853,
334.2000,2369.5337,
334.0000,2374.6638,
333.8000,2378.6604,
333.6000,2383.8818,
333.4000,2388.9404,
333.2000,2394.2056,
333.0000,2399.0078,
332.8000,2402.8164,
332.6000,2407.2947,
332.4000,2411.5308,
332.2000,2415.8896,
332.0000,2418.9814,
331.8000,2422.5903,
331.6000,2426.8679,
331.4000,2429.4939,
331.2000,2431.6914,
331.0000,2433.5,
330.8000,2435.748,
330.6000,2437.6792,
330.4000,2439.7478,
330.2000,2442.1877,
330.0000,2444.4832,
329.8000,2446.6118,
329.6000,2447.9233,
329.4000,2448.8523,
329.2000,2449.375,
329.0000,2450.5559,
328.8000,2450.4304,
328.6000,2450.0317,
328.4000,2450.115,
328.2000,2450.3469,
328.0000,2451.3501,
327.8000,2451.6265,
327.6000,2450.9585,
327.4000,2450.8608,
327.2000,2449.5784,
327.0000,2447.3354,
326.8000,2445.4731,
326.6000,2443.2485,
326.4000,2441.1633,
326.2000,2438.2122,
326.0000,2435.301,
325.8000,2432.0098,
325.6000,2427.5046,
325.4000,2423.5354,
325.2000,2420.52,
325.0000,2416.6638,
324.8000,2412.3325,
324.6000,2407.9609,
324.4000,2403.6155,
324.2000,2398.5779,
324.0000,2392.7456,
323.8000,2386.467,
323.6000,2380.8828,
323.4000,2374.9836,
323.2000,2368.8955,
323.0000,2362.8235,
322.8000,2356.1704,
322.6000,2348.918,
322.4000,2342.3354,
322.2000,2335.2214,
322.0000,2326.6418,
321.8000,2318.6421,
321.6000,2310.9597,
321.4000,2302.8364,
321.2000,2294.321,
321.0000,2286.1519,
320.8000,2277.2063,
320.6000,2266.9551,
320.4000,2256.062,
320.2000,2243.9607,
320.0000,2233.823,
319.8000,2222.3982,
319.6000,2210.8923,
319.4000,2199.2393,
319.2000,2187.9165,
319.0000,2176.2556,
318.8000,2163.0977,
318.6000,2151.9268,
318.4000,2139.9756,
318.2000,2127.5168,
318.0000,2115.0559,
317.8000,2102.7505,
317.6000,2090.0972,
317.4000,2076.7104,
317.2000,2062.1489,
317.0000,2047.5645,
316.8000,2033.691,
316.6000,2019.0046,
316.4000,2005.3879,
316.2000,1994.813,
316.0000,1987.8572,
315.8000,1982.728,
315.6000,1977.082,
315.4000,1970.9823,
315.2000,1964.6497,
315.0000,1959.4398,
