,23.07.13 10 uM AcAc 1.1,
Raman shift [1/cm],Intensity,
360.0000,1278.5983,
359.8000,1286.4528,
359.6000,1294.8822,
359.4000,1302.9913,
359.2000,1311.7507,
359.0000,1320.4031,
358.8000,1328.4453,
358.6000,1337.6194,
358.4000,1347.0559,
358.2000,1356.2118,
358.0000,1364.6229,
357.8000,1372.3617,
357.6000,1380.2451,
357.4000,1388.5037,
357.2000,1396.7349,
357.0000,1404.95,
356.8000,1413.9727,
356.6000,1423.0875,
356.4000,1432.4735,
356.2000,1441.2061,
356.0000,1449.4019,
355.8000,1458.4298,
355.6000,1467.4918,
355.4000,1475.9048,
355.2000,1484.1041,
355.0000,1493.1722,
354.8000,1502.6968,
354.6000,1512.631,
354.4000,1521.7052,
354.2000,1531.4053,
354.0000,1539.9146,
353.8000,1548.3516,
353.6000,1557.1516,
353.4000,1566.3174,
353.2000,1575.8116,
353.0000,1585.0453,
352.8000,1594.571,
352.6000,1603.9613,
352.4000,1612.7843,
352.2000,1621.9009,
352.0000,1631.4098,
351.8000,1641.3762,
351.6000,1650.6152,
351.4000,1659.5017,
351.2000,1668.432,
351.0000,1677.8589,
350.8000,1687.2574,
350.6000,1696.515,
350.4000,1705.4994,
350.2000,1714.6381,
350.0000,1724.5177,
349.8000,1733.0049,
349.6000,1740.9437,
349.4000,1750.2393,
349.2000,1760.53,
349.0000,1769.5078,
348.8000,1778.7721,
348.6000,1787.4752,
348.4000,1796.9969,
348.2000,1806.4462,
348.0000,1815.6648,
347.8000,1825.4471,
347.6000,1834.1993,
347.4000,1842.4355,
347.2000,1850.1892,
347.0000,1858.667,
346.8000,1867.5265,
346.6000,1875.9327,
346.4000,1884.7623,
346.2000,1894.2068,
346.0000,1903.4127,
345.8000,1912.9244,
345.6000,1922.1995,
345.4000,1931.6571,
345.2000,1940.6293,
345.0000,1950.1017,
344.8000,1959.4524,
344.6000,1969.1871,
344.4000,1978.49,
344.2000,1986.8125,
344.0000,1995.323,
343.8000,2004.1466,
343.6000,2012.6927,
343.4000,2021.3514,
343.2000,2030.1173,
343.0000,2040.0035,
342.8000,2049.4058,
342.6000,2058.2102,
342.4000,2067.0461,
342.2000,2076.4744,
342.0000,2085.802,
341.8000,2094.7532,
341.6000,2103.6338,
341.4000,2112.3464,
341.2000,2120.9468,
341.0000,2129.8044,
340.8000,2138.7122,
340.6000,2147.1084,
340.4000,2155.8169,
340.2000,2165.3262,
340.0000,2175.2678,
339.8000,2183.7451,
339.6000,2192.1848,
339.4000,2200.689,
339.2000,2210.4136,
339.0000,2219.3943,
338.8000,2226.8394,
338.6000,2234.3618,
338.4000,2242.7183,
338.2000,2250.9185,
338.0000,2259.7827,
337.8000,2267.1687,
337.6000,2273.6067,
337.4000,2280.9692,
337.2000,2288.3674,
337.0000,2296.1099,
336.8000,2303.5698,
336.6000,2310.8408,
336.4000,2318.0508,
336.2000,2325.6675,
336.0000,2332.8994,
335.8000,2340.0347,
335.6000,2347.0513,
335.4000,2353.7498,
335.2000,2359.7744,
335.0000,2365.5969,
334.8000,2371.3872,
334.6000,2378.0767,
334.4000,2383.8464,
334.2000,2389.9451,
334.0000,2395.5842,
333.8000,2401.1785,
333.6000,2405.2395,
333.4000,2409.5842,
333.2000,2414.1621,
333.0000,2419.0847,
332.8000,2423.8784,
332.6000,2429.0386,
332.4000,2433.0234,
332.2000,2437.4089,
332.0000,2441.3926,
331.8000,2444.8904,
331.6000,2448.562,
331.4000,2451.7253,
331.2000,2455.4097,
331.0000,2459.5408,
330.8000,2462.9492,
330.6000,2466.2236,
330.4000,2469.416,
330.2000,2472.3364,
330.0000,2473.8438,
329.8000,2476.3792,
329.6000,2479.0322,
329.4000,2481.8096,
329.2000,2484.3972,
329.0000,2485.155,
328.8000,2485.145,
328.6000,2485.3262,
328.4000,2486.3635,
328.2000,2486.9343,
328.0000,2487.3145,
327.8000,2486.9263,
327.6000,2485.2271,
327.4000,2483.6353,
327.2000,2481.3181,
327.0000,2479.3013,
326.8000,2477.1084,
326.6000,2475.2483,
326.4000,2473.4961,
326.2000,2471.291,
326.0000,2467.1528,
325.8000,2463.7517,
325.6000,2460.6355,
325.4000,2457.0706,
325.2000,2453.2065,
325.0000,2449.3271,
324.8000,2445.0339,
324.6000,2441.1411,
324.4000,2436.8149,
324.2000,2430.9946,
324.0000,2424.4602,
323.8000,2417.8911,
323.6000,2411.7292,
323.4000,2405.3521,
323.2000,2398.1006,
323.0000,2390.2327,
322.8000,2382.2153,
322.6000,2373.4651,
322.4000,2364.616,
322.2000,2356.1833,
322.0000,2348.1877,
321.8000,2340.2344,
321.6000,2331.5693,
321.4000,2321.2212,
321.2000,2309.5393,
321.0000,2299.1516,
320.8000,2289.3652,
320.6000,2278.5996,
320.4000,2268.2764,
320.2000,2257.845,
320.0000,2246.3196,
319.8000,2235.3838,
319.6000,2224.8496,
319.4000,2213.8059,
319.2000,2201.8411,
319.0000,2188.7578,
318.8000,2176.5442,
318.6000,2163.4832,
318.4000,2150.0984,
318.2000,2136.5203,
318.0000,2122.5237,
317.8000,2108.2158,
317.6000,2094.1738,
317.4000,2079.8152,
317.2000,2065.407,
317.0000,2051.1052,
316.8000,2036.5061,
316.6000,2021.1102,
316.4000,2006.5066,
316.2000,1995.0542,
316.0000,1987.261,
315.8000,1981.3213,
315.6000,1975.6632,
315.4000,1969.4406,
315.2000,1962.2155,
315.0000,1956.1299,
