,23.07.13 Blank 5,
Raman shift [1/cm],Intensity,
360.0000,1296.6649,
359.8000,1305.3354,
359.6000,1312.869,
359.4000,1320.1987,
359.2000,1328.7601,
359.0000,1336.5879,
358.8000,1345.2952,
358.6000,1353.833,
358.4000,1362.1862,
358.2000,1371.0199,
358.0000,1379.364,
357.8000,1388.2672,
357.6000,1396.1757,
357.4000,1404.0748,
357.2000,1412.2712,
357.0000,1420.2169,
356.8000,1428.9043,
356.6000,1437.5305,
356.4000,1445.9349,
356.2000,1455.7887,
356.0000,1465.6611,
355.8000,1473.4337,
355.6000,1481.7994,
355.4000,1490.504,
355.2000,1499.2001,
355.0000,1508.2135,
354.8000,1517.9757,
354.6000,1527.3754,
354.4000,1535.7795,
354.2000,1544.8478,
354.0000,1554.5409,
353.8000,1564.6222,
353.6000,1574.3352,
353.4000,1584.1533,
353.2000,1594.353,
353.0000,1603.5359,
352.8000,1613.3632,
352.6000,1622.8816,
352.4000,1632.343,
352.2000,1642.2827,
352.0000,1651.5078,
351.8000,1662.0259,
351.6000,1671.7656,
351.4000,1682.3971,
351.2000,1692.0699,
351.0000,1701.7509,
350.8000,1711.0485,
350.6000,1719.7866,
350.4000,1729.1874,
350.2000,1738.4923,
350.0000,1747.7692,
349.8000,1756.8551,
349.6000,1765.6899,
349.4000,1774.8678,
349.2000,1784.7269,
349.0000,1793.2405,
348.8000,1802.5505,
348.6000,1811.6897,
348.4000,1820.4656,
348.2000,1828.7136,
348.0000,1837.3887,
347.8000,1846.2898,
347.6000,1855.9521,
347.4000,1865.5715,
347.2000,1874.0613,
347.0000,1883.361,
346.8000,1892.9006,
346.6000,1901.9677,
346.4000,1910.7804,
346.2000,1919.0009,
346.0000,1928.0543,
345.8000,1937.2196,
345.6000,1946.604,
345.4000,1956.1682,
345.2000,1966.4644,
345.0000,1977.2505,
344.8000,1986.3333,
344.6000,1996.0966,
344.4000,2004.6265,
344.2000,2013.9977,
344.0000,2024.2887,
343.8000,2033.7111,
343.6000,2042.5031,
343.4000,2052.4131,
343.2000,2061.8083,
343.0000,2071.4749,
342.8000,2080.7239,
342.6000,2089.6897,
342.4000,2098.1614,
342.2000,2107.4275,
342.0000,2116.3457,
341.8000,2125.5137,
341.6000,2135.4922,
341.4000,2145.1248,
341.2000,2154.6882,
341.0000,2163.6663,
340.8000,2172.7791,
340.6000,2181.3335,
340.4000,2189.8508,
340.2000,2198.2371,
340.0000,2206.7336,
339.8000,2216.2896,
339.6000,2225.9282,
339.4000,2235.282,
339.2000,2244.1335,
339.0000,2253.1067,
338.8000,2261.9243,
338.6000,2271.3127,
338.4000,2279.718,
338.2000,2287.3901,
338.0000,2296.5269,
337.8000,2304.7676,
337.6000,2312.5261,
337.4000,2320.106,
337.2000,2327.0232,
337.0000,2335.5842,
336.8000,2344.9648,
336.6000,2353.4121,
336.4000,2360.8997,
336.2000,2368.6692,
336.0000,2375.7739,
335.8000,2382.5554,
335.6000,2388.5908,
335.4000,2394.4607,
335.2000,2400.8196,
335.0000,2407.1523,
334.8000,2413.2485,
334.6000,2419.3582,
334.4000,2424.248,
334.2000,2429.3164,
334.0000,2434.7454,
333.8000,2440.1382,
333.6000,2444.783,
333.4000,2450.542,
333.2000,2454.9609,
333.0000,2459.4827,
332.8000,2464.5166,
332.6000,2469.5476,
332.4000,2474.7095,
332.2000,2479.5808,
332.0000,2483.6069,
331.8000,2488.873,
331.6000,2494.1096,
331.4000,2498.4329,
331.2000,2503.0359,
331.0000,2506.2588,
330.8000,2508.9409,
330.6000,2511.5125,
330.4000,2513.8665,
330.2000,2516.5957,
330.0000,2519.3376,
329.8000,2521.1504,
329.6000,2522.9792,
329.4000,2524.3896,
329.2000,2526.0745,
329.0000,2526.6396,
328.8000,2526.4441,
328.6000,2526.2415,
328.4000,2527.9751,
328.2000,2528.1733,
328.0000,2527.3999,
327.8000,2526.2261,
327.6000,2525.2551,
327.4000,2525.0979,
327.2000,2523.8718,
327.0000,2523.0256,
326.8000,2522.5659,
326.6000,2520.3779,
326.4000,2518.2397,
326.2000,2515.292,
326.0000,2512.2441,
325.8000,2509.5547,
325.6000,2505.4373,
325.4000,2500.752,
325.2000,2495.7813,
325.0000,2490.439,
324.8000,2485.114,
324.6000,2480.0601,
324.4000,2475.1829,
324.2000,2468.6982,
324.0000,2462.554,
323.8000,2457.2556,
323.6000,2451.5513,
323.4000,2444.9473,
323.2000,2437.4741,
323.0000,2430.6685,
322.8000,2424.01,
322.6000,2416.845,
322.4000,2408.554,
322.2000,2400.7227,
322.0000,2392.8718,
321.8000,2384.55,
321.6000,2376.3423,
321.4000,2367.363,
321.2000,2358.8501,
321.0000,2349.1902,
320.8000,2340.6079,
320.6000,2330.2307,
320.4000,2319.4456,
320.2000,2309.1426,
320.0000,2298.366,
319.8000,2287.5439,
319.6000,2277.2231,
319.4000,2266.6748,
319.2000,2255.3904,
319.0000,2241.5049,
318.8000,2227.3557,
318.6000,2214.4011,
318.4000,2201.3455,
318.2000,2187.6008,
318.0000,2174.3347,
317.8000,2161.3533,
317.6000,2147.6577,
317.4000,2133.5625,
317.2000,2119.5603,
317.0000,2105.4949,
316.8000,2090.8547,
316.6000,2076.1709,
316.4000,2062.7195,
316.2000,2052.1323,
316.0000,2044.3718,
315.8000,2038.0887,
315.6000,2031.6798,
315.4000,2024.7802,
315.2000,2018.4507,
315.0000,2013.0366,
