,23.07.13 10 uM BHB 3,
Raman shift [1/cm],Intensity,
360.0000,1280.3085,
359.8000,1288.567,
359.6000,1297.09,
359.4000,1304.4182,
359.2000,1311.7001,
359.0000,1318.9938,
358.8000,1326.8234,
358.6000,1334.6523,
358.4000,1342.1008,
358.2000,1349.6301,
358.0000,1357.4403,
357.8000,1366.1173,
357.6000,1374.318,
357.4000,1382.6831,
357.2000,1391.51,
357.0000,1400.1499,
356.8000,1407.6907,
356.6000,1415.5958,
356.4000,1424.1245,
356.2000,1432.9186,
356.0000,1441.0776,
355.8000,1449.2573,
355.6000,1458.0616,
355.4000,1466.6261,
355.2000,1475.2891,
355.0000,1484.1729,
354.8000,1493.0393,
354.6000,1501.9519,
354.4000,1510.6794,
354.2000,1519.2025,
354.0000,1527.8003,
353.8000,1537.3438,
353.6000,1545.1071,
353.4000,1553.5167,
353.2000,1562.7339,
353.0000,1571.8694,
352.8000,1580.7734,
352.6000,1589.6187,
352.4000,1598.2163,
352.2000,1607.4052,
352.0000,1617.1569,
351.8000,1626.7809,
351.6000,1636.3071,
351.4000,1644.1927,
351.2000,1652.2311,
351.0000,1660.6731,
350.8000,1669.413,
350.6000,1678.3937,
350.4000,1687.986,
350.2000,1696.6227,
350.0000,1705.4608,
349.8000,1713.6306,
349.6000,1721.1425,
349.4000,1730.0066,
349.2000,1738.7819,
349.0000,1747.6615,
348.8000,1755.9978,
348.6000,1763.3019,
348.4000,1770.8448,
348.2000,1778.5916,
348.0000,1787.4686,
347.8000,1796.6082,
347.6000,1805.165,
347.4000,1814.5292,
347.2000,1823.6692,
347.0000,1831.9552,
346.8000,1840.4207,
346.6000,1849.1238,
346.4000,1858.4,
346.2000,1866.8003,
346.0000,1875.9108,
345.8000,1885.4556,
345.6000,1894.703,
345.4000,1903.6853,
345.2000,1912.3663,
345.0000,1921.4677,
344.8000,1930.9187,
344.6000,1938.7677,
344.4000,1947.0632,
344.2000,1955.6975,
344.0000,1965.201,
343.8000,1974.7625,
343.6000,1984.5366,
343.4000,1993.3423,
343.2000,2002.4363,
343.0000,2011.5385,
342.8000,2020.5199,
342.6000,2029.2993,
342.4000,2038.0463,
342.2000,2045.677,
342.0000,2054.374,
341.8000,2062.6304,
341.6000,2071.3289,
341.4000,2080.5029,
341.2000,2089.8252,
341.0000,2098.5508,
340.8000,2107.4092,
340.6000,2116.9092,
340.4000,2125.8391,
340.2000,2133.9429,
340.0000,2142.2209,
339.8000,2149.0569,
339.6000,2156.5842,
339.4000,2163.4812,
339.2000,2171.2817,
339.0000,2179.437,
338.8000,2187.6619,
338.6000,2196.4417,
338.4000,2204.2017,
338.2000,2213.1987,
338.0000,2221.5364,
337.8000,2229.4656,
337.6000,2237.7668,
337.4000,2246.4744,
337.2000,2254.7258,
337.0000,2262.7039,
336.8000,2269.6492,
336.6000,2276.7935,
336.4000,2283.7007,
336.2000,2290.3674,
336.0000,2297.501,
335.8000,2305.8008,
335.6000,2313.9023,
335.4000,2320.4785,
335.2000,2328.0598,
335.0000,2334.8706,
334.8000,2340.4492,
334.6000,2346.5403,
334.4000,2352.7988,
334.2000,2358.363,
334.0000,2363.9971,
333.8000,2368.8796,
333.6000,2374.1074,
333.4000,2380.3513,
333.2000,2385.7898,
333.0000,2391.3894,
332.8000,2396.4355,
332.6000,2400.0923,
332.4000,2404.1128,
332.2000,2407.4031,
332.0000,2411.3174,
331.8000,2416.2732,
331.6000,2420.4275,
331.4000,2424.8855,
331.2000,2429.7537,
331.0000,2433.4836,
330.8000,2436.8394,
330.6000,2440.4966,
330.4000,2443.5051,
330.2000,2446.6233,
330.0000,2447.9744,
329.8000,2450.343,
329.6000,2452.2561,
329.4000,2452.5645,
329.2000,2452.8423,
329.0000,2452.5732,
328.8000,2452.1499,
328.6000,2451.9946,
328.4000,2451.7764,
328.2000,2452.2126,
328.0000,2452.3518,
327.8000,2451.8196,
327.6000,2450.5459,
327.4000,2448.6489,
327.2000,2447.1392,
327.0000,2444.8799,
326.8000,2443.0518,
326.6000,2442.0029,
326.4000,2439.9875,
326.2000,2437.6821,
326.0000,2434.2024,
325.8000,2430.5654,
325.6000,2426.6252,
325.4000,2423.1289,
325.2000,2420.5503,
325.0000,2417.4514,
324.8000,2414.0278,
324.6000,2409.2419,
324.4000,2404.4355,
324.2000,2399.897,
324.0000,2394.5173,
323.8000,2388.9282,
323.6000,2383.4485,
323.4000,2377.0432,
323.2000,2371.1467,
323.0000,2365.0366,
322.8000,2358.3247,
322.6000,2350.696,
322.4000,2343.5137,
322.2000,2336.4832,
322.0000,2328.093,
321.8000,2320.4492,
321.6000,2312.7922,
321.4000,2304.3779,
321.2000,2296.4363,
321.0000,2287.5308,
320.8000,2278.1113,
320.6000,2268.094,
320.4000,2257.8987,
320.2000,2247.6934,
320.0000,2237.3999,
319.8000,2227.1133,
319.6000,2215.7202,
319.4000,2203.9978,
319.2000,2191.2695,
319.0000,2179.373,
318.8000,2167.8196,
318.6000,2156.6418,
318.4000,2145.1504,
318.2000,2132.7249,
318.0000,2119.8713,
317.8000,2106.4031,
317.6000,2092.4402,
317.4000,2078.8105,
317.2000,2064.25,
317.0000,2050.6409,
316.8000,2037.4076,
316.6000,2023.4648,
316.4000,2009.3593,
316.2000,1999.0941,
316.0000,1991.0754,
315.8000,1985.1541,
315.6000,1979.3029,
315.4000,1972.5232,
315.2000,1965.4374,
315.0000,1959.5319,
