,23.07.13 Blank 2.1,
Raman shift [1/cm],Intensity,
360.0000,1262.4916,
359.8000,1269.6073,
359.6000,1277.3949,
359.4000,1285.4221,
359.2000,1293.13,
359.0000,1301.8567,
358.8000,1310.2003,
358.6000,1318.9813,
358.4000,1327.0715,
358.2000,1335.0199,
358.0000,1343.2758,
357.8000,1351.6014,
357.6000,1359.9172,
357.4000,1367.9235,
357.2000,1376.064,
357.0000,1384.0702,
356.8000,1392.079,
356.6000,1400.0697,
356.4000,1408.5321,
356.2000,1418.0862,
356.0000,1426.403,
355.8000,1433.632,
355.6000,1440.1125,
355.4000,1447.5931,
355.2000,1456.4518,
355.0000,1465.4496,
354.8000,1474.2524,
354.6000,1483.9048,
354.4000,1492.5743,
354.2000,1501.3145,
354.0000,1510.7664,
353.8000,1519.0369,
353.6000,1528.7054,
353.4000,1538.2522,
353.2000,1547.7578,
353.0000,1556.6469,
352.8000,1565.6737,
352.6000,1575.08,
352.4000,1584.1992,
352.2000,1593.7504,
352.0000,1602.4686,
351.8000,1611.5509,
351.6000,1620.5889,
351.4000,1629.7512,
351.2000,1638.811,
351.0000,1648.6431,
350.8000,1658.1804,
350.6000,1667.0739,
350.4000,1674.9377,
350.2000,1683.7683,
350.0000,1692.0427,
349.8000,1700.5662,
349.6000,1709.8619,
349.4000,1718.8994,
349.2000,1728.3057,
349.0000,1736.1974,
348.8000,1743.5358,
348.6000,1751.8916,
348.4000,1762.0791,
348.2000,1772.5073,
348.0000,1781.3849,
347.8000,1789.6522,
347.6000,1797.8519,
347.4000,1806.679,
347.2000,1817.073,
347.0000,1826.6731,
346.8000,1836.426,
346.6000,1845.4189,
346.4000,1853.896,
346.2000,1862.5928,
346.0000,1871.2386,
345.8000,1880.3157,
345.6000,1889.8949,
345.4000,1898.7499,
345.2000,1906.2344,
345.0000,1913.718,
344.8000,1922.2407,
344.6000,1931.1392,
344.4000,1939.2825,
344.2000,1948.2229,
344.0000,1958.3079,
343.8000,1967.9711,
343.6000,1977.3566,
343.4000,1986.9375,
343.2000,1995.8212,
343.0000,2003.8962,
342.8000,2012.3037,
342.6000,2021.8168,
342.4000,2030.8043,
342.2000,2038.8013,
342.0000,2048.1475,
341.8000,2057.0278,
341.6000,2065.3853,
341.4000,2073.8066,
341.2000,2081.3018,
341.0000,2089.2412,
340.8000,2096.3757,
340.6000,2104.3774,
340.4000,2111.7898,
340.2000,2120.0295,
340.0000,2128.5801,
339.8000,2137.5876,
339.6000,2145.939,
339.4000,2154.0439,
339.2000,2162.4211,
339.0000,2171.0686,
338.8000,2179.2488,
338.6000,2187.2869,
338.4000,2195.0894,
338.2000,2202.3765,
338.0000,2209.8809,
337.8000,2218.7571,
337.6000,2226.3193,
337.4000,2233.6536,
337.2000,2240.9963,
337.0000,2248.1616,
336.8000,2255.342,
336.6000,2262.4561,
336.4000,2270.6365,
336.2000,2277.4473,
336.0000,2284.7407,
335.8000,2290.8425,
335.6000,2295.7312,
335.4000,2301.8506,
335.2000,2308.4053,
335.0000,2315.4387,
334.8000,2321.5605,
334.6000,2326.301,
334.4000,2331.5015,
334.2000,2336.0366,
334.0000,2341.7278,
333.8000,2347.1436,
333.6000,2353.0896,
333.4000,2358.4114,
333.2000,2362.782,
333.0000,2365.9102,
332.8000,2370.5615,
332.6000,2376.1772,
332.4000,2381.4919,
332.2000,2387.0786,
332.0000,2392.4778,
331.8000,2396.113,
331.6000,2399.915,
331.4000,2403.292,
331.2000,2406.7849,
331.0000,2410.3479,
330.8000,2414.1418,
330.6000,2417.6516,
330.4000,2419.9104,
330.2000,2422.5029,
330.0000,2426.2275,
329.8000,2429.7542,
329.6000,2432.1111,
329.4000,2433.9883,
329.2000,2435.5276,
329.0000,2436.894,
328.8000,2437.9243,
328.6000,2438.6418,
328.4000,2438.7595,
328.2000,2438.7056,
328.0000,2438.6904,
327.8000,2438.3145,
327.6000,2437.4358,
327.4000,2437.5583,
327.2000,2437.2456,
327.0000,2436.4077,
326.8000,2435.6807,
326.6000,2434.3098,
326.4000,2432.3774,
326.2000,2428.8369,
326.0000,2425.0874,
325.8000,2421.7861,
325.6000,2418.772,
325.4000,2415.9089,
325.2000,2412.7166,
325.0000,2409.5864,
324.8000,2405.5742,
324.6000,2400.9929,
324.4000,2396.4004,
324.2000,2392.3552,
324.0000,2387.8354,
323.8000,2382.1973,
323.6000,2375.835,
323.4000,2369.3127,
323.2000,2363.0486,
323.0000,2356.2241,
322.8000,2349.5779,
322.6000,2341.3696,
322.4000,2334.3455,
322.2000,2326.9622,
322.0000,2317.6636,
321.8000,2309.0146,
321.6000,2301.2749,
321.4000,2292.4001,
321.2000,2283.3562,
321.0000,2273.6545,
320.8000,2263.6943,
320.6000,2253.4451,
320.4000,2243.718,
320.2000,2234.3411,
320.0000,2224.1516,
319.8000,2213.2019,
319.6000,2203.4995,
319.4000,2193.2439,
319.2000,2180.7231,
319.0000,2168.6897,
318.8000,2156.4338,
318.6000,2143.8081,
318.4000,2131.2881,
318.2000,2118.1724,
318.0000,2104.845,
317.8000,2092.1865,
317.6000,2079.9578,
317.4000,2066.3174,
317.2000,2052.9941,
317.0000,2039.3696,
316.8000,2025.8495,
316.6000,2012.067,
316.4000,1997.7563,
316.2000,1988.0096,
316.0000,1981.3735,
315.8000,1975.4745,
315.6000,1969.1259,
315.4000,1963.1301,
315.2000,1957.3088,
315.0000,1952.1171,
