,23.07.13 Blank 2,
Raman shift [1/cm],Intensity,
360.0000,1276.5381,
359.8000,1283.9727,
359.6000,1291.6548,
359.4000,1299.8044,
359.2000,1307.4974,
359.0000,1316.0613,
358.8000,1324.2118,
358.6000,1332.4531,
358.4000,1340.8247,
358.2000,1348.7889,
358.0000,1356.9843,
357.8000,1366.1143,
357.6000,1374.7286,
357.4000,1383.3558,
357.2000,1391.2925,
357.0000,1398.79,
356.8000,1406.7053,
356.6000,1414.6796,
356.4000,1422.2142,
356.2000,1431.031,
356.0000,1439.3204,
355.8000,1448.5953,
355.6000,1457.8766,
355.4000,1466.5267,
355.2000,1475.6111,
355.0000,1484.5266,
354.8000,1492.9308,
354.6000,1500.5388,
354.4000,1509.0377,
354.2000,1517.8303,
354.0000,1526.5992,
353.8000,1534.9893,
353.6000,1543.424,
353.4000,1553.0095,
353.2000,1562.0131,
353.0000,1571.0056,
352.8000,1579.6677,
352.6000,1588.1759,
352.4000,1597.069,
352.2000,1605.1157,
352.0000,1613.0088,
351.8000,1621.3795,
351.6000,1629.3489,
351.4000,1636.895,
351.2000,1644.9436,
351.0000,1652.796,
350.8000,1661.5284,
350.6000,1670.6074,
350.4000,1679.8943,
350.2000,1688.7864,
350.0000,1697.9116,
349.8000,1707.6154,
349.6000,1717.4514,
349.4000,1726.1497,
349.2000,1734.8873,
349.0000,1744.0128,
348.8000,1753.1781,
348.6000,1761.9524,
348.4000,1770.0719,
348.2000,1779.1387,
348.0000,1789.3903,
347.8000,1799.3248,
347.6000,1809.2358,
347.4000,1818.9543,
347.2000,1828.3368,
347.0000,1837.4545,
346.8000,1846.3275,
346.6000,1855.2296,
346.4000,1863.9302,
346.2000,1872.6133,
346.0000,1881.0284,
345.8000,1888.7992,
345.6000,1897.4865,
345.4000,1906.5101,
345.2000,1915.4658,
345.0000,1924.7462,
344.8000,1933.037,
344.6000,1940.7302,
344.4000,1949.4148,
344.2000,1958.6744,
344.0000,1967.6045,
343.8000,1976.7769,
343.6000,1985.1809,
343.4000,1993.7399,
343.2000,2002.5297,
343.0000,2010.6416,
342.8000,2018.6179,
342.6000,2027.0233,
342.4000,2034.9565,
342.2000,2043.9832,
342.0000,2053.1567,
341.8000,2061.876,
341.6000,2070.5364,
341.4000,2079.7651,
341.2000,2088.751,
341.0000,2097.5552,
340.8000,2105.6233,
340.6000,2113.6357,
340.4000,2122.4497,
340.2000,2131.2505,
340.0000,2139.1897,
339.8000,2147.301,
339.6000,2155.5547,
339.4000,2163.1509,
339.2000,2172.2207,
339.0000,2180.8843,
338.8000,2189.8042,
338.6000,2198.4727,
338.4000,2206.4592,
338.2000,2215.3962,
338.0000,2223.9753,
337.8000,2231.2236,
337.6000,2239.2441,
337.4000,2246.0759,
337.2000,2253.3733,
337.0000,2260.282,
336.8000,2268.0176,
336.6000,2275.7495,
336.4000,2283.3013,
336.2000,2290.1504,
336.0000,2297.7334,
335.8000,2304.396,
335.6000,2310.7803,
335.4000,2318.5698,
335.2000,2326.0608,
335.0000,2332.9253,
334.8000,2338.8308,
334.6000,2344.1438,
334.4000,2349.2742,
334.2000,2355.9106,
334.0000,2361.2659,
333.8000,2366.8875,
333.6000,2372.4722,
333.4000,2376.9929,
333.2000,2381.2468,
333.0000,2386.1018,
332.8000,2390.928,
332.6000,2396.0178,
332.4000,2400.2698,
332.2000,2403.9023,
332.0000,2407.28,
331.8000,2410.4866,
331.6000,2413.8657,
331.4000,2417.906,
331.2000,2421.4023,
331.0000,2424.5203,
330.8000,2427.0554,
330.6000,2429.978,
330.4000,2432.3972,
330.2000,2433.7227,
330.0000,2435.0542,
329.8000,2435.8484,
329.6000,2437.2297,
329.4000,2438.9592,
329.2000,2440.6138,
329.0000,2441.1111,
328.8000,2442.0957,
328.6000,2442.4839,
328.4000,2443.1602,
328.2000,2443.7415,
328.0000,2445.2991,
327.8000,2446.8247,
327.6000,2445.2109,
327.4000,2443.113,
327.2000,2441.2805,
327.0000,2439.6482,
326.8000,2438.4385,
326.6000,2437.1736,
326.4000,2435.1489,
326.2000,2432.9397,
326.0000,2430.1113,
325.8000,2426.7224,
325.6000,2422.3208,
325.4000,2417.6255,
325.2000,2412.9282,
325.0000,2408.6934,
324.8000,2404.4614,
324.6000,2400.656,
324.4000,2397.022,
324.2000,2392.6497,
324.0000,2387.0645,
323.8000,2381.7085,
323.6000,2375.7517,
323.4000,2369.2729,
323.2000,2361.9829,
323.0000,2354.6353,
322.8000,2347.3652,
322.6000,2340.408,
322.4000,2332.1907,
322.2000,2324.2014,
322.0000,2315.4431,
321.8000,2306.6243,
321.6000,2298.5706,
321.4000,2290.9456,
321.2000,2281.3596,
321.0000,2272.1423,
320.8000,2262.8899,
320.6000,2253.7896,
320.4000,2243.7524,
320.2000,2233.1599,
320.0000,2222.5435,
319.8000,2211.9719,
319.6000,2201.2363,
319.4000,2190.6892,
319.2000,2179.5232,
319.0000,2168.1096,
318.8000,2156.418,
318.6000,2144.4448,
318.4000,2131.415,
318.2000,2117.7488,
318.0000,2104.1912,
317.8000,2091.2502,
317.6000,2077.6855,
317.4000,2064.2749,
317.2000,2051.459,
317.0000,2038.0668,
316.8000,2025.6021,
316.6000,2013.2217,
316.4000,1999.9663,
316.2000,1990.0565,
316.0000,1983.6293,
315.8000,1977.9077,
315.6000,1972.2762,
315.4000,1966.973,
315.2000,1961.3242,
315.0000,1955.1418,
