,23.07.13 10 uM AcAc 1,
Raman shift [1/cm],Intensity,
360.0000,1300.5499,
359.8000,1308.85,
359.6000,1316.9487,
359.4000,1325.2722,
359.2000,1333.1725,
359.0000,1340.9297,
358.8000,1349.2485,
358.6000,1358.022,
358.4000,1366.9132,
358.2000,1376.2633,
358.0000,1385.9238,
357.8000,1394.3304,
357.6000,1403.0392,
357.4000,1412.0787,
357.2000,1421.7576,
357.0000,1430.796,
356.8000,1438.8695,
356.6000,1447.375,
356.4000,1455.9727,
356.2000,1464.8136,
356.0000,1473.7251,
355.8000,1481.4551,
355.6000,1489.7374,
355.4000,1498.5846,
355.2000,1507.618,
355.0000,1516.1221,
354.8000,1524.974,
354.6000,1532.8442,
354.4000,1540.6772,
354.2000,1548.6072,
354.0000,1556.9355,
353.8000,1565.1429,
353.6000,1573.8181,
353.4000,1582.6677,
353.2000,1591.5913,
353.0000,1601.2192,
352.8000,1610.0988,
352.6000,1619.3451,
352.4000,1628.8632,
352.2000,1637.8701,
352.0000,1646.7277,
351.8000,1656.7288,
351.6000,1667.7188,
351.4000,1676.6877,
351.2000,1685.7133,
351.0000,1695.2,
350.8000,1703.9509,
350.6000,1713.6572,
350.4000,1723.8755,
350.2000,1733.5101,
350.0000,1742.5273,
349.8000,1750.5444,
349.6000,1758.1923,
349.4000,1767.3334,
349.2000,1776.774,
349.0000,1785.5583,
348.8000,1795.5864,
348.6000,1804.9561,
348.4000,1813.4976,
348.2000,1822.2174,
348.0000,1832.4736,
347.8000,1842.6172,
347.6000,1851.7419,
347.4000,1860.9763,
347.2000,1870.2438,
347.0000,1879.4109,
346.8000,1888.8572,
346.6000,1897.9115,
346.4000,1907.5098,
346.2000,1916.6372,
346.0000,1925.8148,
345.8000,1934.4373,
345.6000,1943.3342,
345.4000,1952.3335,
345.2000,1960.7908,
345.0000,1968.6874,
344.8000,1976.9531,
344.6000,1985.3688,
344.4000,1993.4929,
344.2000,2002.5439,
344.0000,2012.0259,
343.8000,2021.7152,
343.6000,2032.1418,
343.4000,2041.4594,
343.2000,2050.1118,
343.0000,2059.0271,
342.8000,2068.0823,
342.6000,2076.8726,
342.4000,2085.4358,
342.2000,2094.1147,
342.0000,2103.0593,
341.8000,2112.5034,
341.6000,2121.3674,
341.4000,2130.2634,
341.2000,2139.353,
341.0000,2148.9211,
340.8000,2158.6855,
340.6000,2168.4524,
340.4000,2177.3611,
340.2000,2184.7126,
340.0000,2192.7795,
339.8000,2200.385,
339.6000,2208.083,
339.4000,2215.8628,
339.2000,2224.4792,
339.0000,2232.7346,
338.8000,2240.531,
338.6000,2248.106,
338.4000,2256.3196,
338.2000,2264.2686,
338.0000,2272.0073,
337.8000,2280.0425,
337.6000,2288.4563,
337.4000,2297.3455,
337.2000,2305.0569,
337.0000,2313.3171,
336.8000,2321.0642,
336.6000,2328.7002,
336.4000,2335.511,
336.2000,2342.7205,
336.0000,2348.9641,
335.8000,2355.4365,
335.6000,2362.0073,
335.4000,2368.2129,
335.2000,2373.9382,
335.0000,2379.9556,
334.8000,2386.7864,
334.6000,2392.4226,
334.4000,2398.0076,
334.2000,2404.2937,
334.0000,2409.8535,
333.8000,2414.8936,
333.6000,2419.4055,
333.4000,2424.9634,
333.2000,2429.416,
333.0000,2433.2234,
332.8000,2437.2639,
332.6000,2440.6538,
332.4000,2444.3403,
332.2000,2448.3901,
332.0000,2451.6912,
331.8000,2455.24,
331.6000,2458.8357,
331.4000,2462.2412,
331.2000,2465.147,
331.0000,2468.272,
330.8000,2470.9673,
330.6000,2474.0212,
330.4000,2476.4673,
330.2000,2478.1235,
330.0000,2479.6736,
329.8000,2481.6868,
329.6000,2483.9749,
329.4000,2486.0066,
329.2000,2487.4185,
329.0000,2489.0444,
328.8000,2489.2007,
328.6000,2488.2354,
328.4000,2487.3083,
328.2000,2487.5439,
328.0000,2487.6287,
327.8000,2488.3445,
327.6000,2488.4719,
327.4000,2487.4587,
327.2000,2487.1113,
327.0000,2485.7827,
326.8000,2483.7009,
326.6000,2482.3274,
326.4000,2480.4468,
326.2000,2476.9971,
326.0000,2473.198,
325.8000,2469.2156,
325.6000,2464.5378,
325.4000,2459.978,
325.2000,2455.5071,
325.0000,2451.0107,
324.8000,2445.9973,
324.6000,2440.8372,
324.4000,2435.7607,
324.2000,2430.9307,
324.0000,2425.9583,
323.8000,2419.6379,
323.6000,2413.6218,
323.4000,2407.936,
323.2000,2401.2288,
323.0000,2392.6685,
322.8000,2383.4541,
322.6000,2374.8335,
322.4000,2367.311,
322.2000,2359.7678,
322.0000,2351.532,
321.8000,2343.2183,
321.6000,2334.6792,
321.4000,2324.8726,
321.2000,2314.1216,
321.0000,2303.7488,
320.8000,2293.3396,
320.6000,2282.5762,
320.4000,2271.3782,
320.2000,2260.5125,
320.0000,2249.8455,
319.8000,2238.6768,
319.6000,2225.697,
319.4000,2212.4614,
319.2000,2200.1138,
319.0000,2187.0493,
318.8000,2174.9482,
318.6000,2162.8074,
318.4000,2150.5361,
318.2000,2137.1611,
318.0000,2123.6362,
317.8000,2109.449,
317.6000,2095.0088,
317.4000,2080.3184,
317.2000,2066.0752,
317.0000,2051.5884,
316.8000,2035.4819,
316.6000,2019.7764,
316.4000,2004.422,
316.2000,1993.0074,
316.0000,1985.0818,
315.8000,1978.2653,
315.6000,1972.0728,
315.4000,1964.715,
315.2000,1957.6858,
315.0000,1951.2769,
