,23.07.13 10 uM L-ala 2,
Raman shift [1/cm],Intensity,
360.0000,1291.4485,
359.8000,1299.403,
359.6000,1308.0729,
359.4000,1316.9619,
359.2000,1325.7931,
359.0000,1334.9197,
358.8000,1344.4916,
358.6000,1353.764,
358.4000,1362.5553,
358.2000,1370.9785,
358.0000,1379.7488,
357.8000,1388.9932,
357.6000,1398.7091,
357.4000,1408.4427,
357.2000,1417.8431,
357.0000,1426.3047,
356.8000,1434.5649,
356.6000,1443.642,
356.4000,1452.118,
356.2000,1461.0264,
356.0000,1469.3671,
355.8000,1477.243,
355.6000,1485.5188,
355.4000,1494.3798,
355.2000,1502.9923,
355.0000,1512.0701,
354.8000,1520.9305,
354.6000,1529.5405,
354.4000,1537.7874,
354.2000,1546.5094,
354.0000,1555.5554,
353.8000,1564.2562,
353.6000,1573.5668,
353.4000,1582.3744,
353.2000,1591.5865,
353.0000,1600.8831,
352.8000,1609.5464,
352.6000,1617.8879,
352.4000,1626.7371,
352.2000,1634.8508,
352.0000,1643.0369,
351.8000,1651.8474,
351.6000,1660.8341,
351.4000,1668.7339,
351.2000,1676.7496,
351.0000,1685.6575,
350.8000,1695.0344,
350.6000,1704.9049,
350.4000,1714.5603,
350.2000,1724.9598,
350.0000,1734.87,
349.8000,1743.3926,
349.6000,1751.5004,
349.4000,1760.6176,
349.2000,1770.2009,
349.0000,1778.703,
348.8000,1786.8876,
348.6000,1795.6997,
348.4000,1805.3048,
348.2000,1815.2954,
348.0000,1824.8639,
347.8000,1834.0426,
347.6000,1843.7234,
347.4000,1853.7438,
347.2000,1863.2791,
347.0000,1871.9924,
346.8000,1881.0934,
346.6000,1891.5029,
346.4000,1901.8361,
346.2000,1911.6543,
346.0000,1921.1659,
345.8000,1931.2346,
345.6000,1940.7212,
345.4000,1949.5286,
345.2000,1957.8717,
345.0000,1966.2927,
344.8000,1975.6836,
344.6000,1985.6936,
344.4000,1993.4902,
344.2000,2001.8264,
344.0000,2010.9838,
343.8000,2019.8916,
343.6000,2029.4264,
343.4000,2038.4551,
343.2000,2047.6526,
343.0000,2056.0115,
342.8000,2064.9778,
342.6000,2074.707,
342.4000,2083.8364,
342.2000,2092.6445,
342.0000,2101.9421,
341.8000,2111.1907,
341.6000,2119.5598,
341.4000,2127.8135,
341.2000,2135.2405,
341.0000,2142.5305,
340.8000,2150.1443,
340.6000,2158.5371,
340.4000,2166.5181,
340.2000,2174.1453,
340.0000,2181.9673,
339.8000,2189.9072,
339.6000,2197.4534,
339.4000,2205.6082,
339.2000,2214.0906,
339.0000,2222.9504,
338.8000,2231.1199,
338.6000,2239.7893,
338.4000,2247.8123,
338.2000,2255.6399,
338.0000,2263.3547,
337.8000,2271.3945,
337.6000,2278.832,
337.4000,2286.9473,
337.2000,2294.176,
337.0000,2300.908,
336.8000,2309.5098,
336.6000,2318.093,
336.4000,2326.2554,
336.2000,2333.9973,
336.0000,2341.5483,
335.8000,2349.0403,
335.6000,2356.3359,
335.4000,2362.9619,
335.2000,2369.1343,
335.0000,2375.3999,
334.8000,2381.7942,
334.6000,2388.1086,
334.4000,2394.3582,
334.2000,2401.3003,
334.0000,2408.0845,
333.8000,2413.7344,
333.6000,2419.4622,
333.4000,2425.1375,
333.2000,2430.1294,
333.0000,2435.9973,
332.8000,2440.7314,
332.6000,2445.0864,
332.4000,2448.5845,
332.2000,2452.4658,
332.0000,2456.2751,
331.8000,2460.5854,
331.6000,2464.479,
331.4000,2467.4219,
331.2000,2470.5173,
331.0000,2473.563,
330.8000,2476.1875,
330.6000,2478.6833,
330.4000,2480.4502,
330.2000,2481.7957,
330.0000,2482.9421,
329.8000,2484.2056,
329.6000,2485.5149,
329.4000,2486.4724,
329.2000,2487.7263,
329.0000,2489.0493,
328.8000,2489.1609,
328.6000,2488.0359,
328.4000,2487.364,
328.2000,2486.5745,
328.0000,2485.6045,
327.8000,2484.9814,
327.6000,2484.5996,
327.4000,2483.9978,
327.2000,2483.7292,
327.0000,2481.3596,
326.8000,2478.6204,
326.6000,2476.1221,
326.4000,2474.4397,
326.2000,2471.7703,
326.0000,2467.2283,
325.8000,2463.377,
325.6000,2459.2585,
325.4000,2455.2383,
325.2000,2450.8206,
325.0000,2446.0562,
324.8000,2441.1082,
324.6000,2435.6204,
324.4000,2430.5239,
324.2000,2425.052,
324.0000,2418.5928,
323.8000,2412.3198,
323.6000,2406.5095,
323.4000,2400.002,
323.2000,2392.7659,
323.0000,2386.2515,
322.8000,2379.573,
322.6000,2372.406,
322.4000,2364.3767,
322.2000,2356.1189,
322.0000,2347.7581,
321.8000,2339.1797,
321.6000,2330.3494,
321.4000,2320.8484,
321.2000,2311.6628,
321.0000,2301.3857,
320.8000,2291.5269,
320.6000,2280.5164,
320.4000,2269.4053,
320.2000,2258.3167,
320.0000,2246.7012,
319.8000,2235.4558,
319.6000,2224.0166,
319.4000,2212.353,
319.2000,2200.8623,
319.0000,2189.364,
318.8000,2176.6577,
318.6000,2164.1853,
318.4000,2151.1138,
318.2000,2136.7515,
318.0000,2122.5049,
317.8000,2107.7395,
317.6000,2092.7883,
317.4000,2078.3989,
317.2000,2064.7434,
317.0000,2050.8416,
316.8000,2036.1196,
316.6000,2020.3187,
316.4000,2005.3645,
316.2000,1993.9828,
316.0000,1985.5894,
315.8000,1978.6626,
315.6000,1972.3091,
315.4000,1966.0538,
315.2000,1959.3969,
315.0000,1951.9514,
