,23.07.13 10 uM BHB 2,
Raman shift [1/cm],Intensity,
360.0000,1224.3716,
359.8000,1231.6235,
359.6000,1238.8971,
359.4000,1246.4363,
359.2000,1254.3713,
359.0000,1261.8788,
358.8000,1269.5264,
358.6000,1277.459,
358.4000,1286.0706,
358.2000,1294.3776,
358.0000,1302.1794,
357.8000,1310.3013,
357.6000,1317.8165,
357.4000,1325.583,
357.2000,1333.9572,
357.0000,1342.649,
356.8000,1351.1617,
356.6000,1359.8448,
356.4000,1367.7168,
356.2000,1374.7845,
356.0000,1382.8301,
355.8000,1390.645,
355.6000,1398.6976,
355.4000,1407.3831,
355.2000,1415.6222,
355.0000,1423.7582,
354.8000,1432.1045,
354.6000,1441.147,
354.4000,1450.197,
354.2000,1458.9303,
354.0000,1468.172,
353.8000,1477.2264,
353.6000,1485.5582,
353.4000,1494.2518,
353.2000,1502.6812,
353.0000,1511.5343,
352.8000,1519.5667,
352.6000,1527.6018,
352.4000,1535.629,
352.2000,1545.1832,
352.0000,1554.3348,
351.8000,1563.2798,
351.6000,1572.6987,
351.4000,1581.9177,
351.2000,1591.6982,
351.0000,1601.0492,
350.8000,1609.7299,
350.6000,1618.0616,
350.4000,1625.9573,
350.2000,1634.0909,
350.0000,1643.3497,
349.8000,1652.4021,
349.6000,1661.351,
349.4000,1670.4821,
349.2000,1678.5188,
349.0000,1686.7546,
348.8000,1695.6653,
348.6000,1704.3911,
348.4000,1713.1913,
348.2000,1721.7557,
348.0000,1729.812,
347.8000,1737.3049,
347.6000,1744.4987,
347.4000,1752.0764,
347.2000,1759.8019,
347.0000,1768.291,
346.8000,1777.1107,
346.6000,1785.6884,
346.4000,1794.7694,
346.2000,1804.0563,
346.0000,1813.4473,
345.8000,1821.2543,
345.6000,1828.9988,
345.4000,1837.0222,
345.2000,1844.9375,
345.0000,1852.9261,
344.8000,1860.6378,
344.6000,1868.8123,
344.4000,1877.7009,
344.2000,1886.9049,
344.0000,1896.3186,
343.8000,1905.5864,
343.6000,1914.5227,
343.4000,1923.3636,
343.2000,1932.5865,
343.0000,1940.6077,
342.8000,1948.387,
342.6000,1957.0834,
342.4000,1965.881,
342.2000,1974.494,
342.0000,1983.4956,
341.8000,1992.7288,
341.6000,2000.4191,
341.4000,2008.0372,
341.2000,2015.9832,
341.0000,2024.0275,
340.8000,2031.9353,
340.6000,2039.3291,
340.4000,2046.1903,
340.2000,2053.0168,
340.0000,2060.5493,
339.8000,2069.2925,
339.6000,2077.0852,
339.4000,2084.2327,
339.2000,2091.2144,
339.0000,2099.1152,
338.8000,2106.0132,
338.6000,2112.8977,
338.4000,2121.4094,
338.2000,2130.4763,
338.0000,2138.5024,
337.8000,2145.6216,
337.6000,2152.1274,
337.4000,2159.2981,
337.2000,2166.6248,
337.0000,2173.2129,
336.8000,2179.1462,
336.6000,2186.0518,
336.4000,2193.928,
336.2000,2201.104,
336.0000,2207.2327,
335.8000,2213.4907,
335.6000,2219.8345,
335.4000,2226.666,
335.2000,2233.3374,
335.0000,2240.4963,
334.8000,2247.667,
334.6000,2253.8542,
334.4000,2259.1011,
334.2000,2263.916,
334.0000,2269.2715,
333.8000,2274.6135,
333.6000,2279.6311,
333.4000,2284.7888,
333.2000,2288.3345,
333.0000,2291.1987,
332.8000,2295.5186,
332.6000,2300.4846,
332.4000,2304.0798,
332.2000,2306.6509,
332.0000,2309.1809,
331.8000,2311.9792,
331.6000,2315.1523,
331.4000,2319.4924,
331.2000,2323.3792,
331.0000,2326.521,
330.8000,2329.9172,
330.6000,2332.9802,
330.4000,2335.8616,
330.2000,2337.8643,
330.0000,2339.9119,
329.8000,2342.7625,
329.6000,2346.052,
329.4000,2349.1392,
329.2000,2352.0598,
329.0000,2353.1672,
328.8000,2354.7275,
328.6000,2355.2659,
328.4000,2355.6052,
328.2000,2355.6023,
328.0000,2356.0049,
327.8000,2356.5664,
327.6000,2356.8926,
327.4000,2357.7822,
327.2000,2357.1331,
327.0000,2356.0293,
326.8000,2355.1418,
326.6000,2354.3489,
326.4000,2352.8213,
326.2000,2350.2729,
326.0000,2347.8931,
325.8000,2345.8816,
325.6000,2343.2532,
325.4000,2339.9451,
325.2000,2336.075,
325.0000,2332.4944,
324.8000,2329.3552,
324.6000,2325.2241,
324.4000,2320.6836,
324.2000,2315.8887,
324.0000,2310.9167,
323.8000,2306.5803,
323.6000,2303.3274,
323.4000,2298.4836,
323.2000,2293.3479,
323.0000,2287.6655,
322.8000,2282.1558,
322.6000,2276.3462,
322.4000,2269.7183,
322.2000,2262.9739,
322.0000,2255.0432,
321.8000,2247.5474,
321.6000,2239.6052,
321.4000,2232.1355,
321.2000,2223.8958,
321.0000,2215.6116,
320.8000,2207.1804,
320.6000,2197.4194,
320.4000,2186.7246,
320.2000,2175.1396,
320.0000,2165.0398,
319.8000,2155.7163,
319.6000,2146.1064,
319.4000,2135.4841,
319.2000,2124.2175,
319.0000,2113.1304,
318.8000,2101.9546,
318.6000,2090.3896,
318.4000,2077.9033,
318.2000,2065.8108,
318.0000,2053.9326,
317.8000,2041.7579,
317.6000,2028.4104,
317.4000,2015.9769,
317.2000,2003.1011,
317.0000,1990.0842,
316.8000,1976.709,
316.6000,1962.6952,
316.4000,1949.524,
316.2000,1939.8054,
316.0000,1932.6531,
315.8000,1926.608,
315.6000,1920.7095,
315.4000,1914.5081,
315.2000,1909.2201,
315.0000,1904.8901,
