,23.07.13 10 uM L-ala 4,
Raman shift [1/cm],Intensity,
360.0000,1300.1814,
359.8000,1309.2618,
359.6000,1317.5709,
359.4000,1325.7778,
359.2000,1333.9652,
359.0000,1342.4459,
358.8000,1350.353,
358.6000,1358.5991,
358.4000,1366.5315,
358.2000,1375.1752,
358.0000,1384.5675,
357.8000,1393.8431,
357.6000,1402.1655,
357.4000,1410.6655,
357.2000,1419.3237,
357.0000,1428.0708,
356.8000,1437.1554,
356.6000,1446.8835,
356.4000,1456.1721,
356.2000,1464.801,
356.0000,1473.6317,
355.8000,1482.5221,
355.6000,1491.8043,
355.4000,1501.0367,
355.2000,1509.2894,
355.0000,1518.5471,
354.8000,1527.7648,
354.6000,1537.2328,
354.4000,1546.0417,
354.2000,1554.7886,
354.0000,1562.9706,
353.8000,1571.0574,
353.6000,1579.8772,
353.4000,1589.3422,
353.2000,1598.1987,
353.0000,1606.568,
352.8000,1613.7825,
352.6000,1622.0116,
352.4000,1630.61,
352.2000,1638.3885,
352.0000,1647.4905,
351.8000,1657.0461,
351.6000,1666.022,
351.4000,1674.5294,
351.2000,1684.3108,
351.0000,1693.2124,
350.8000,1702.615,
350.6000,1712.349,
350.4000,1721.7258,
350.2000,1731.2716,
350.0000,1740.8031,
349.8000,1749.673,
349.6000,1758.1777,
349.4000,1766.9272,
349.2000,1776.6757,
349.0000,1786.0802,
348.8000,1795.8163,
348.6000,1805.858,
348.4000,1815.7794,
348.2000,1824.8269,
348.0000,1833.9561,
347.8000,1842.9652,
347.6000,1851.7415,
347.4000,1861.0079,
347.2000,1869.8076,
347.0000,1877.9318,
346.8000,1886.2115,
346.6000,1895.6434,
346.4000,1905.1353,
346.2000,1914.6497,
346.0000,1924.2898,
345.8000,1933.6298,
345.6000,1941.74,
345.4000,1949.9211,
345.2000,1958.9067,
345.0000,1968.1355,
344.8000,1976.1365,
344.6000,1984.8021,
344.4000,1992.7075,
344.2000,2001.376,
344.0000,2010.9868,
343.8000,2020.9467,
343.6000,2030.7542,
343.4000,2039.2219,
343.2000,2046.7549,
343.0000,2054.5386,
342.8000,2063.0681,
342.6000,2073.1074,
342.4000,2082.866,
342.2000,2090.9155,
342.0000,2098.6357,
341.8000,2106.7534,
341.6000,2115.7622,
341.4000,2124.6753,
341.2000,2134.1348,
341.0000,2143.8721,
340.8000,2154.1387,
340.6000,2162.9895,
340.4000,2171.8464,
340.2000,2180.1758,
340.0000,2188.2097,
339.8000,2195.9128,
339.6000,2204.7734,
339.4000,2213.1611,
339.2000,2221.9084,
339.0000,2230.4292,
338.8000,2237.4607,
338.6000,2243.991,
338.4000,2251.7334,
338.2000,2259.7622,
338.0000,2267.2471,
337.8000,2274.3806,
337.6000,2281.5154,
337.4000,2289.4573,
337.2000,2296.6641,
337.0000,2303.7893,
336.8000,2310.5984,
336.6000,2317.2373,
336.4000,2324.739,
336.2000,2331.262,
336.0000,2338.2061,
335.8000,2344.7908,
335.6000,2351.2424,
335.4000,2358.6226,
335.2000,2364.5454,
335.0000,2372.3953,
334.8000,2380.2554,
334.6000,2387.0398,
334.4000,2394.562,
334.2000,2401.1804,
334.0000,2406.6992,
333.8000,2411.1433,
333.6000,2416.5505,
333.4000,2421.9883,
333.2000,2427.8503,
333.0000,2433.3628,
332.8000,2437.729,
332.6000,2443.1013,
332.4000,2446.9624,
332.2000,2450.5242,
332.0000,2453.7793,
331.8000,2457.6321,
331.6000,2462.2019,
331.4000,2468.1162,
331.2000,2472.8328,
331.0000,2476.5012,
330.8000,2478.8765,
330.6000,2481.2944,
330.4000,2483.9502,
330.2000,2486.2068,
330.0000,2488.2502,
329.8000,2490.6914,
329.6000,2492.1226,
329.4000,2493.4636,
329.2000,2495.1396,
329.0000,2496.9907,
328.8000,2498.5168,
328.6000,2498.7935,
328.4000,2498.9006,
328.2000,2497.3972,
328.0000,2497.0435,
327.8000,2496.8113,
327.6000,2497.3486,
327.4000,2497.4116,
327.2000,2496.2344,
327.0000,2494.5291,
326.8000,2493.0017,
326.6000,2491.6597,
326.4000,2490.2351,
326.2000,2487.0952,
326.0000,2483.7217,
325.8000,2480.0127,
325.6000,2477.6003,
325.4000,2475.7925,
325.2000,2473.657,
325.0000,2471.322,
324.8000,2466.5845,
324.6000,2460.6108,
324.4000,2455.0496,
324.2000,2450.5977,
324.0000,2446.4231,
323.8000,2440.9421,
323.6000,2434.6658,
323.4000,2429.1533,
323.2000,2422.6716,
323.0000,2415.4016,
322.8000,2408.3083,
322.6000,2401.3469,
322.4000,2392.0186,
322.2000,2382.9673,
322.0000,2375.0442,
321.8000,2367.1299,
321.6000,2358.4619,
321.4000,2349.5042,
321.2000,2340.3003,
321.0000,2330.6926,
320.8000,2321.5208,
320.6000,2311.6204,
320.4000,2300.8879,
320.2000,2289.7271,
320.0000,2278.9844,
319.8000,2268.2522,
319.6000,2256.8979,
319.4000,2245.3826,
319.2000,2233.2595,
319.0000,2221.1401,
318.8000,2209.0142,
318.6000,2197.5535,
318.4000,2185.8711,
318.2000,2173.6899,
318.0000,2161.3601,
317.8000,2147.9746,
317.6000,2134.1736,
317.4000,2119.4438,
317.2000,2104.8911,
317.0000,2089.7625,
316.8000,2074.4771,
316.6000,2059.8391,
316.4000,2044.9192,
316.2000,2034.0757,
316.0000,2026.4236,
315.8000,2020.9957,
315.6000,2015.1624,
315.4000,2007.9814,
315.2000,2000.9133,
315.0000,1994.5643,
