,23.07.13 Blank 4.1,
Raman shift [1/cm],Intensity,
360.0000,1277.1888,
359.8000,1284.6595,
359.6000,1291.4935,
359.4000,1298.9822,
359.2000,1306.7521,
359.0000,1315.175,
358.8000,1323.7114,
358.6000,1330.968,
358.4000,1338.3516,
358.2000,1346.4281,
358.0000,1355.2548,
357.8000,1363.4547,
357.6000,1371.9974,
357.4000,1380.8446,
357.2000,1389.5073,
357.0000,1397.8143,
356.8000,1406.3009,
356.6000,1414.5878,
356.4000,1423.6586,
356.2000,1432.0785,
356.0000,1440.5524,
355.8000,1449.6831,
355.6000,1457.5872,
355.4000,1465.7415,
355.2000,1474.0969,
355.0000,1481.6675,
354.8000,1489.1094,
354.6000,1498.0072,
354.4000,1506.9503,
354.2000,1515.6238,
354.0000,1524.6499,
353.8000,1533.6665,
353.6000,1542.9596,
353.4000,1552.0372,
353.2000,1561.4081,
353.0000,1569.9897,
352.8000,1578.9451,
352.6000,1588.7234,
352.4000,1597.9504,
352.2000,1607.0603,
352.0000,1615.3848,
351.8000,1623.3062,
351.6000,1632.1606,
351.4000,1640.4231,
351.2000,1649.2219,
351.0000,1658.4902,
350.8000,1667.6991,
350.6000,1676.673,
350.4000,1686.2021,
350.2000,1695.6469,
350.0000,1705.0052,
349.8000,1713.682,
349.6000,1722.1925,
349.4000,1731.2178,
349.2000,1739.7926,
349.0000,1748.1549,
348.8000,1757.2225,
348.6000,1765.6262,
348.4000,1773.792,
348.2000,1781.6241,
348.0000,1790.5043,
347.8000,1799.2532,
347.6000,1808.5876,
347.4000,1817.7195,
347.2000,1826.4697,
347.0000,1835.3876,
346.8000,1844.8978,
346.6000,1853.9465,
346.4000,1863.3595,
346.2000,1871.5248,
346.0000,1880.7753,
345.8000,1887.9683,
345.6000,1895.0524,
345.4000,1902.5198,
345.2000,1910.9034,
345.0000,1920.7897,
344.8000,1930.5315,
344.6000,1939.5925,
344.4000,1948.3669,
344.2000,1957.3599,
344.0000,1966.7781,
343.8000,1976.1925,
343.6000,1985.5641,
343.4000,1994.1785,
343.2000,2002.7384,
343.0000,2011.078,
342.8000,2019.1205,
342.6000,2028.5988,
342.4000,2037.5825,
342.2000,2046.6163,
342.0000,2055.3174,
341.8000,2063.7319,
341.6000,2072.075,
341.4000,2080.925,
341.2000,2090.1694,
341.0000,2099.4121,
340.8000,2108.7495,
340.6000,2117.4683,
340.4000,2124.9121,
340.2000,2131.583,
340.0000,2138.4844,
339.8000,2146.3252,
339.6000,2154.4321,
339.4000,2163.1343,
339.2000,2172.5713,
339.0000,2180.8154,
338.8000,2188.1965,
338.6000,2195.2549,
338.4000,2203.0518,
338.2000,2210.1863,
338.0000,2217.5344,
337.8000,2224.9956,
337.6000,2233.1648,
337.4000,2240.865,
337.2000,2248.1572,
337.0000,2255.8672,
336.8000,2262.1111,
336.6000,2267.99,
336.4000,2274.5034,
336.2000,2281.7947,
336.0000,2289.5862,
335.8000,2297.2288,
335.6000,2304.4531,
335.4000,2310.8049,
335.2000,2317.3352,
335.0000,2323.2173,
334.8000,2328.75,
334.6000,2334.7112,
334.4000,2341.1169,
334.2000,2347.3037,
334.0000,2352.822,
333.8000,2358.5964,
333.6000,2364.8354,
333.4000,2370.9946,
333.2000,2375.9692,
333.0000,2379.8733,
332.8000,2384.0693,
332.6000,2387.729,
332.4000,2392.2551,
332.2000,2396.4136,
332.0000,2400.0034,
331.8000,2404.7407,
331.6000,2409.0627,
331.4000,2412.7036,
331.2000,2416.137,
331.0000,2418.2766,
330.8000,2420.3674,
330.6000,2423.0254,
330.4000,2425.8774,
330.2000,2428.1733,
330.0000,2430.896,
329.8000,2433.3813,
329.6000,2434.979,
329.4000,2435.9348,
329.2000,2436.8201,
329.0000,2437.5249,
328.8000,2437.3562,
328.6000,2436.3926,
328.4000,2436.8848,
328.2000,2436.405,
328.0000,2436.4712,
327.8000,2436.8911,
327.6000,2436.26,
327.4000,2435.6877,
327.2000,2434.0039,
327.0000,2430.9473,
326.8000,2428.7212,
326.6000,2427.4741,
326.4000,2426.0588,
326.2000,2424.0464,
326.0000,2422.0125,
325.8000,2419.188,
325.6000,2416.2671,
325.4000,2413.7683,
325.2000,2410.3528,
325.0000,2406.4187,
324.8000,2401.0974,
324.6000,2396.0002,
324.4000,2391.9636,
324.2000,2388.116,
324.0000,2383.5085,
323.8000,2379.2566,
323.6000,2374.4688,
323.4000,2367.9651,
323.2000,2360.4143,
323.0000,2352.7788,
322.8000,2345.5623,
322.6000,2338.7549,
322.4000,2332.2505,
322.2000,2325.4731,
322.0000,2317.3306,
321.8000,2308.6028,
321.6000,2299.374,
321.4000,2289.3582,
321.2000,2280.1528,
321.0000,2271.2327,
320.8000,2262.5203,
320.6000,2252.5217,
320.4000,2242.8066,
320.2000,2233.3423,
320.0000,2222.1511,
319.8000,2211.6816,
319.6000,2201.2581,
319.4000,2190.342,
319.2000,2178.7307,
319.0000,2166.543,
318.8000,2155.6873,
318.6000,2144.6733,
318.4000,2132.5259,
318.2000,2119.7852,
318.0000,2106.0344,
317.8000,2092.0671,
317.6000,2079.2075,
317.4000,2065.4387,
317.2000,2052.074,
317.0000,2038.3474,
316.8000,2024.1201,
316.6000,2008.4039,
316.4000,1994.4542,
316.2000,1984.4647,
316.0000,1977.9061,
315.8000,1971.3279,
315.6000,1964.553,
315.4000,1957.6417,
315.2000,1951.4229,
315.0000,1945.9104,
