,23.07.13 10 uM AcAc 3.1,
Raman shift [1/cm],Intensity,
360.0000,1268.4735,
359.8000,1276.1417,
359.6000,1284.9413,
359.4000,1292.9614,
359.2000,1301.4574,
359.0000,1308.5629,
358.8000,1316.4421,
358.6000,1324.8795,
358.4000,1332.9651,
358.2000,1340.9805,
358.0000,1349.1932,
357.8000,1357.5747,
357.6000,1366.3879,
357.4000,1375.0385,
357.2000,1383.8976,
357.0000,1393.0696,
356.8000,1402.3119,
356.6000,1411.2506,
356.4000,1419.3792,
356.2000,1427.9858,
356.0000,1436.2754,
355.8000,1444.2485,
355.6000,1451.6936,
355.4000,1459.3774,
355.2000,1468.1346,
355.0000,1477.7114,
354.8000,1487.6627,
354.6000,1497.5693,
354.4000,1507.7429,
354.2000,1517.3422,
354.0000,1526.2837,
353.8000,1534.9103,
353.6000,1543.7261,
353.4000,1552.4092,
353.2000,1561.1775,
353.0000,1569.257,
352.8000,1578.5621,
352.6000,1588.3501,
352.4000,1597.7646,
352.2000,1606.1759,
352.0000,1614.8712,
351.8000,1623.1777,
351.6000,1631.9164,
351.4000,1640.4111,
351.2000,1648.6803,
351.0000,1657.0797,
350.8000,1665.4408,
350.6000,1673.9077,
350.4000,1682.0145,
350.2000,1690.7375,
350.0000,1699.5178,
349.8000,1708.2848,
349.6000,1716.9457,
349.4000,1725.0979,
349.2000,1733.1885,
349.0000,1742.0725,
348.8000,1750.6656,
348.6000,1759.5347,
348.4000,1768.8876,
348.2000,1778.2668,
348.0000,1787.2642,
347.8000,1795.7283,
347.6000,1803.8706,
347.4000,1813.1542,
347.2000,1821.2645,
347.0000,1828.4681,
346.8000,1835.9548,
346.6000,1843.8444,
346.4000,1852.3347,
346.2000,1861.7822,
346.0000,1870.2539,
345.8000,1879.5771,
345.6000,1889.0494,
345.4000,1897.7836,
345.2000,1907.1147,
345.0000,1917.4788,
344.8000,1927.3353,
344.6000,1937.1449,
344.4000,1945.9536,
344.2000,1955.1119,
344.0000,1964.2932,
343.8000,1972.7518,
343.6000,1981.0938,
343.4000,1990.3835,
343.2000,1999.8093,
343.0000,2008.7485,
342.8000,2017.6837,
342.6000,2026.1796,
342.4000,2034.7544,
342.2000,2043.022,
342.0000,2051.7786,
341.8000,2060.4324,
341.6000,2068.4783,
341.4000,2076.4443,
341.2000,2086.1228,
341.0000,2095.7305,
340.8000,2104.9551,
340.6000,2113.9705,
340.4000,2122.5059,
340.2000,2130.4597,
340.0000,2138.936,
339.8000,2147.0879,
339.6000,2154.9624,
339.4000,2163.5903,
339.2000,2171.0962,
339.0000,2178.238,
338.8000,2186.0835,
338.6000,2194.0896,
338.4000,2201.7952,
338.2000,2209.6121,
338.0000,2217.3535,
337.8000,2225.3071,
337.6000,2233.2351,
337.4000,2240.6565,
337.2000,2247.1724,
337.0000,2252.7002,
336.8000,2258.3813,
336.6000,2265.0029,
336.4000,2270.6946,
336.2000,2276.8147,
336.0000,2283.3381,
335.8000,2290.0835,
335.6000,2296.9485,
335.4000,2303.9771,
335.2000,2311.4626,
335.0000,2317.906,
334.8000,2324.3621,
334.6000,2330.1794,
334.4000,2336.4302,
334.2000,2342.3303,
334.0000,2348.625,
333.8000,2354.5249,
333.6000,2360.8391,
333.4000,2365.4529,
333.2000,2369.8179,
333.0000,2374.3696,
332.8000,2379.0176,
332.6000,2383.7571,
332.4000,2387.9395,
332.2000,2391.4851,
332.0000,2395.469,
331.8000,2399.6467,
331.6000,2402.8691,
331.4000,2406.3525,
331.2000,2409.7971,
331.0000,2413.3154,
330.8000,2416.0076,
330.6000,2419.5808,
330.4000,2421.6672,
330.2000,2423.9954,
330.0000,2426.447,
329.8000,2429.4866,
329.6000,2431.6594,
329.4000,2433.1926,
329.2000,2435.3718,
329.0000,2437.0129,
328.8000,2438.9712,
328.6000,2440.5408,
328.4000,2440.9502,
328.2000,2441.4299,
328.0000,2442.0674,
327.8000,2441.4858,
327.6000,2441.7012,
327.4000,2441.7327,
327.2000,2439.9092,
327.0000,2437.0642,
326.8000,2434.4302,
326.6000,2432.3218,
326.4000,2430.7051,
326.2000,2427.2585,
326.0000,2423.8494,
325.8000,2420.0542,
325.6000,2415.8396,
325.4000,2411.7224,
325.2000,2407.1216,
325.0000,2403.4194,
324.8000,2398.2588,
324.6000,2393.5901,
324.4000,2389.0327,
324.2000,2384.2473,
324.0000,2379.708,
323.8000,2374.8342,
323.6000,2369.0962,
323.4000,2362.0132,
323.2000,2354.2878,
323.0000,2346.7549,
322.8000,2339.4851,
322.6000,2332.1926,
322.4000,2324.9536,
322.2000,2317.8022,
322.0000,2309.0193,
321.8000,2300.2593,
321.6000,2291.9451,
321.4000,2283.6482,
321.2000,2275.2961,
321.0000,2266.4148,
320.8000,2256.2202,
320.6000,2247.3894,
320.4000,2237.3564,
320.2000,2227.1013,
320.0000,2216.8926,
319.8000,2206.4678,
319.6000,2195.3721,
319.4000,2184.0271,
319.2000,2172.4963,
319.0000,2161.7463,
318.8000,2150.8975,
318.6000,2139.1758,
318.4000,2127.6421,
318.2000,2115.1943,
318.0000,2102.4829,
317.8000,2090.1226,
317.6000,2077.7437,
317.4000,2064.738,
317.2000,2051.4414,
317.0000,2037.8984,
316.8000,2022.9486,
316.6000,2008.4822,
316.4000,1994.5415,
316.2000,1984.4957,
316.0000,1977.0154,
315.8000,1970.3156,
315.6000,1963.4178,
315.4000,1958.3077,
315.2000,1952.7858,
315.0000,1947.2594,
