,23.07.13 10 uM BHB 2.1,
Raman shift [1/cm],Intensity,
360.0000,1225.739,
359.8000,1234.1644,
359.6000,1242.3439,
359.4000,1250.4091,
359.2000,1258.4207,
359.0000,1266.9789,
358.8000,1275.2515,
358.6000,1282.7946,
358.4000,1290.7094,
358.2000,1298.2489,
358.0000,1305.3213,
357.8000,1313.1991,
357.6000,1321.7528,
357.4000,1330.4358,
357.2000,1338.9825,
357.0000,1346.2771,
356.8000,1355.3066,
356.6000,1364.2892,
356.4000,1373.7927,
356.2000,1382.3049,
356.0000,1390.3367,
355.8000,1398.4004,
355.6000,1406.2457,
355.4000,1414.3073,
355.2000,1422.8507,
355.0000,1431.5499,
354.8000,1440.0718,
354.6000,1448.2844,
354.4000,1456.2889,
354.2000,1465.2416,
354.0000,1474.2468,
353.8000,1482.942,
353.6000,1491.4645,
353.4000,1498.8258,
353.2000,1506.3521,
353.0000,1514.1071,
352.8000,1522.1927,
352.6000,1530.6959,
352.4000,1539.149,
352.2000,1547.2638,
352.0000,1555.741,
351.8000,1564.5554,
351.6000,1573.2971,
351.4000,1583.3871,
351.2000,1592.2596,
351.0000,1600.9031,
350.8000,1609.3215,
350.6000,1617.1807,
350.4000,1625.6038,
350.2000,1635.6382,
350.0000,1646.4779,
349.8000,1655.8131,
349.6000,1663.8544,
349.4000,1672.1536,
349.2000,1681.8916,
349.0000,1690.5291,
348.8000,1698.1344,
348.6000,1707.2955,
348.4000,1715.1951,
348.2000,1723.1371,
348.0000,1732.0819,
347.8000,1741.1174,
347.6000,1750.7946,
347.4000,1760.2578,
347.2000,1768.2264,
347.0000,1776.4241,
346.8000,1784.7091,
346.6000,1793.5831,
346.4000,1802.8555,
346.2000,1812.3168,
346.0000,1820.374,
345.8000,1828.2107,
345.6000,1837.1078,
345.4000,1846.2876,
345.2000,1854.9426,
345.0000,1864.0482,
344.8000,1872.1361,
344.6000,1879.8295,
344.4000,1887.7834,
344.2000,1895.5988,
344.0000,1903.2737,
343.8000,1910.9108,
343.6000,1918.3098,
343.4000,1926.3026,
343.2000,1935.0094,
343.0000,1943.6908,
342.8000,1952.3961,
342.6000,1961.3435,
342.4000,1969.5911,
342.2000,1976.6804,
342.0000,1985.3181,
341.8000,1993.6488,
341.6000,2001.5814,
341.4000,2010.2395,
341.2000,2017.0963,
341.0000,2024.3385,
340.8000,2032.9257,
340.6000,2040.7664,
340.4000,2048.5332,
340.2000,2056.5439,
340.0000,2064.3716,
339.8000,2071.5991,
339.6000,2079.6326,
339.4000,2087.3599,
339.2000,2095.6301,
339.0000,2103.1741,
338.8000,2110.9534,
338.6000,2118.4314,
338.4000,2126.0745,
338.2000,2134.7964,
338.0000,2143.1636,
337.8000,2151.8037,
337.6000,2159.4312,
337.4000,2166.3518,
337.2000,2173.2363,
337.0000,2180.3259,
336.8000,2187.6768,
336.6000,2194.2314,
336.4000,2200.1851,
336.2000,2205.8391,
336.0000,2211.7573,
335.8000,2217.7676,
335.6000,2224.3611,
335.4000,2231.3726,
335.2000,2237.6777,
335.0000,2242.4915,
334.8000,2246.8206,
334.6000,2252.0928,
334.4000,2258.1389,
334.2000,2263.928,
334.0000,2269.2419,
333.8000,2274.4014,
333.6000,2279.3613,
333.4000,2285.1201,
333.2000,2290.5896,
333.0000,2295.3762,
332.8000,2301.0786,
332.6000,2305.6443,
332.4000,2309.2891,
332.2000,2312.907,
332.0000,2316.3074,
331.8000,2320.6201,
331.6000,2325.6985,
331.4000,2328.929,
331.2000,2330.5002,
331.0000,2334.6831,
330.8000,2337.8257,
330.6000,2340.7593,
330.4000,2343.7412,
330.2000,2346.7847,
330.0000,2348.519,
329.8000,2351.418,
329.6000,2353.3752,
329.4000,2355.0889,
329.2000,2356.3865,
329.0000,2355.8948,
328.8000,2355.29,
328.6000,2354.8794,
328.4000,2354.2053,
328.2000,2353.9976,
328.0000,2353.8757,
327.8000,2354.4084,
327.6000,2354.2756,
327.4000,2354.3713,
327.2000,2354.2261,
327.0000,2353.1978,
326.8000,2351.7576,
326.6000,2350.7314,
326.4000,2349.458,
326.2000,2347.4314,
326.0000,2344.6086,
325.8000,2340.6753,
325.6000,2337.4453,
325.4000,2334.6294,
325.2000,2331.239,
325.0000,2328.2444,
324.8000,2324.1292,
324.6000,2319.2222,
324.4000,2314.896,
324.2000,2310.5398,
324.0000,2304.9736,
323.8000,2300.9355,
323.6000,2296.6387,
323.4000,2290.7278,
323.2000,2285.6074,
323.0000,2279.7505,
322.8000,2273.7607,
322.6000,2267.6646,
322.4000,2262.1863,
322.2000,2256.0112,
322.0000,2248.1509,
321.8000,2240.1377,
321.6000,2231.1626,
321.4000,2223.0808,
321.2000,2214.8259,
321.0000,2206.7368,
320.8000,2197.9163,
320.6000,2188.4858,
320.4000,2178.7185,
320.2000,2168.2244,
320.0000,2157.4387,
319.8000,2147.2563,
319.6000,2137.3044,
319.4000,2127.3188,
319.2000,2115.928,
319.0000,2104.3071,
318.8000,2092.9045,
318.6000,2082.345,
318.4000,2071.5403,
318.2000,2060.9851,
318.0000,2049.6348,
317.8000,2036.968,
317.6000,2024.4967,
317.4000,2012.0334,
317.2000,1999.7063,
317.0000,1987.1182,
316.8000,1974.4668,
316.6000,1961.6605,
316.4000,1948.7255,
316.2000,1938.9624,
316.0000,1932.6198,
315.8000,1926.6008,
315.6000,1920.2988,
315.4000,1913.3506,
315.2000,1907.1509,
315.0000,1901.6581,
