,23.07.13 10 uM BHB 4.1,
Raman shift [1/cm],Intensity,
360.0000,1247.3796,
359.8000,1255.661,
359.6000,1263.9056,
359.4000,1272.4568,
359.2000,1280.9059,
359.0000,1288.9695,
358.8000,1297.4835,
358.6000,1305.7977,
358.4000,1313.5076,
358.2000,1320.8005,
358.0000,1328.3521,
357.8000,1335.5902,
357.6000,1343.1779,
357.4000,1349.7793,
357.2000,1358.2773,
357.0000,1366.5718,
356.8000,1374.7618,
356.6000,1382.8348,
356.4000,1390.3635,
356.2000,1397.9825,
356.0000,1405.4073,
355.8000,1413.8573,
355.6000,1422.0195,
355.4000,1429.4148,
355.2000,1436.7921,
355.0000,1444.6071,
354.8000,1453.197,
354.6000,1462.153,
354.4000,1471.3248,
354.2000,1479.9189,
354.0000,1488.4554,
353.8000,1496.5829,
353.6000,1504.129,
353.4000,1512.6681,
353.2000,1521.5986,
353.0000,1529.9072,
352.8000,1538.9902,
352.6000,1548.27,
352.4000,1558.3754,
352.2000,1568.1819,
352.0000,1577.4535,
351.8000,1586.1626,
351.6000,1594.5149,
351.4000,1602.4961,
351.2000,1611.3622,
351.0000,1620.1904,
350.8000,1628.7882,
350.6000,1637.1622,
350.4000,1646.2194,
350.2000,1655.2704,
350.0000,1664.6798,
349.8000,1673.8993,
349.6000,1683.0337,
349.4000,1691.9401,
349.2000,1700.4708,
349.0000,1709.1956,
348.8000,1718.2233,
348.6000,1726.5342,
348.4000,1734.5033,
348.2000,1743.23,
348.0000,1752.614,
347.8000,1760.8745,
347.6000,1768.5636,
347.4000,1776.6176,
347.2000,1785.3792,
347.0000,1794.2269,
346.8000,1803.1599,
346.6000,1811.5126,
346.4000,1819.7908,
346.2000,1829.0719,
346.0000,1838.0372,
345.8000,1847.5166,
345.6000,1856.7039,
345.4000,1865.3887,
345.2000,1874.1362,
345.0000,1883.0381,
344.8000,1891.3688,
344.6000,1898.7925,
344.4000,1907.01,
344.2000,1915.2804,
344.0000,1923.4719,
343.8000,1931.9209,
343.6000,1940.7092,
343.4000,1948.0272,
343.2000,1956.076,
343.0000,1963.8806,
342.8000,1971.9397,
342.6000,1980.3654,
342.4000,1988.6809,
342.2000,1997.8904,
342.0000,2007.5923,
341.8000,2016.5867,
341.6000,2024.6113,
341.4000,2031.9185,
341.2000,2039.9642,
341.0000,2047.8204,
340.8000,2056.4998,
340.6000,2065.2949,
340.4000,2073.7854,
340.2000,2082.9255,
340.0000,2091.4407,
339.8000,2099.9043,
339.6000,2107.77,
339.4000,2116.3655,
339.2000,2125.0972,
339.0000,2133.3828,
338.8000,2140.9946,
338.6000,2149.1746,
338.4000,2156.4148,
338.2000,2163.7773,
338.0000,2172.0452,
337.8000,2179.147,
337.6000,2186.3564,
337.4000,2194.5132,
337.2000,2202.4448,
337.0000,2208.626,
336.8000,2214.7134,
336.6000,2220.1838,
336.4000,2227.2793,
336.2000,2233.3896,
336.0000,2239.9341,
335.8000,2246.4563,
335.6000,2252.5034,
335.4000,2258.6836,
335.2000,2264.5552,
335.0000,2270.197,
334.8000,2275.9365,
334.6000,2280.9458,
334.4000,2285.323,
334.2000,2291.322,
334.0000,2297.3713,
333.8000,2302.803,
333.6000,2308.3762,
333.4000,2313.0127,
333.2000,2317.2061,
333.0000,2322.6653,
332.8000,2327.4319,
332.6000,2330.5654,
332.4000,2334.3579,
332.2000,2336.9443,
332.0000,2339.1741,
331.8000,2341.6221,
331.6000,2344.3452,
331.4000,2347.7981,
331.2000,2351.7607,
331.0000,2355.0046,
330.8000,2358.6443,
330.6000,2362.0386,
330.4000,2363.7292,
330.2000,2364.9409,
330.0000,2367.4177,
329.8000,2369.8132,
329.6000,2371.979,
329.4000,2373.0325,
329.2000,2374.2095,
329.0000,2375.8008,
328.8000,2375.9717,
328.6000,2376.2478,
328.4000,2376.1919,
328.2000,2376.3325,
328.0000,2375.0081,
327.8000,2372.1375,
327.6000,2370.9604,
327.4000,2370.1294,
327.2000,2369.4229,
327.0000,2367.8916,
326.8000,2366.3535,
326.6000,2365.1987,
326.4000,2363.1069,
326.2000,2360.3679,
326.0000,2358.0088,
325.8000,2354.792,
325.6000,2351.623,
325.4000,2348.5825,
325.2000,2344.8997,
325.0000,2340.8821,
324.8000,2335.5686,
324.6000,2330.1304,
324.4000,2325.6838,
324.2000,2320.011,
324.0000,2313.5667,
323.8000,2307.9709,
323.6000,2302.4675,
323.4000,2297.958,
323.2000,2291.8545,
323.0000,2284.6311,
322.8000,2276.6904,
322.6000,2269.5049,
322.4000,2262.3469,
322.2000,2254.9871,
322.0000,2247.7432,
321.8000,2240.5935,
321.6000,2232.5657,
321.4000,2223.7078,
321.2000,2214.2251,
321.0000,2204.7756,
320.8000,2195.2053,
320.6000,2184.7043,
320.4000,2174.7061,
320.2000,2165.9668,
320.0000,2156.4495,
319.8000,2146.9583,
319.6000,2137.1992,
319.4000,2126.4778,
319.2000,2115.426,
319.0000,2104.3887,
318.8000,2093.5818,
318.6000,2082.5737,
318.4000,2070.541,
318.2000,2059.2053,
318.0000,2047.5789,
317.8000,2035.5461,
317.6000,2023.9404,
317.4000,2011.2982,
317.2000,1999.0433,
317.0000,1986.543,
316.8000,1972.8986,
316.6000,1959.376,
316.4000,1945.8727,
316.2000,1935.3976,
316.0000,1928.0063,
315.8000,1922.4408,
315.6000,1916.4832,
315.4000,1910.7124,
315.2000,1904.3862,
315.0000,1898.4479,
